"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","687","3.547","46.9","16.0","10.2","4.9","2.5","0.3","1.3","0.6","",".","15.9","0.1","",".","0.7","0.1","0.3","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","93","3.316","26.9","15.1","11.8","3.2","4.3","1.1","1.1",".","",".","35.5","1.1","",".",".",".",".","."
"Sophomore","243","3.473","33.7","16.5","11.5","5.3","2.9",".","0.8",".","",".","27.2",".","",".","1.2","0.4",".","0.4"
"Junior","157","3.532","55.4","19.1","7.6","5.7","2.5",".","3.2",".","",".","6.4",".","",".",".",".",".","."
"Senior","188","3.702","68.1","13.8","10.1","4.8","0.5","0.5","0.5",".","",".",".",".","",".","1.1",".","0.5","."
"Undergraduates","681","3.549","47.3","16.2","10.3","5.0","2.3","0.3","1.3",".","",".","16.0","0.1","",".","0.7","0.1","0.1","0.1"
"Special","6","2.000",".",".",".",".","16.7",".",".","66.7","",".",".",".","",".",".",".","16.7","."
"Dept. Total","687","3.547","46.9","16.0","10.2","4.9","2.5","0.3","1.3","0.6","",".","15.9","0.1","",".","0.7","0.1","0.3","0.1"
