"","990
039","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
079","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
039","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"R M I
241","Dept. Total","343","3.160","30.0","15.5","27.4","15.2","9.3","0.9","0.3","1.2","0.3",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","23","2.652","13.0",".","26.1","26.1","34.8",".",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","75","3.037","28.0","6.7","34.7","20.0","9.3",".","1.3",".",".",".","",".","",".","",".",".",".","."
"Senior","","206","3.201","30.1","20.9","24.8","14.6","7.8","1.5",".",".","0.5",".","",".","",".","",".",".",".","."
"Undergraduates","","305","3.117","28.2","15.7","27.5","16.7","10.2","1.0","0.3",".","0.3",".","",".","",".","",".",".",".","."
"Special","","5","2.900",".","40.0","20.0","20.0","20.0",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","33","3.638","51.5","9.1","27.3",".",".",".",".","12.1",".",".","",".","",".","",".",".",".","."
"","Dept. Total","343","3.160","30.0","15.5","27.4","15.2","9.3","0.9","0.3","1.2","0.3",".","",".","",".","",".",".",".","."
