"L&S","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","1881","3.095","23.0","16.1","32.9","11.0","10.5","1.8","0.9","2.1","0.1",".","",".","0.9","0.4","0.1","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","305","2.799","8.5","10.8","40.7","16.1","21.0","2.0","0.3",".",".",".","",".",".","0.3",".",".","0.3"
"Sophomore","","594","2.962","15.2","13.3","41.9","13.5","12.5","2.2","0.7","0.2","0.2",".","",".",".",".",".",".","0.5"
"Junior","","438","3.105","25.1","16.0","34.0","12.8","7.3","2.5","1.4","0.2",".",".","",".",".","0.2","0.2",".","0.2"
"Senior","","403","3.317","31.8","26.6","22.8","5.5","6.5","1.0","1.2","3.2",".",".","",".","0.2","1.2",".",".","."
"Undergraduates","","1740","3.050","20.3","16.6","35.3","11.9","11.3","2.0","0.9","0.9","0.1",".","",".","0.1","0.4","0.1",".","0.3"
"Special","","9","3.250","22.2",".","11.1",".","11.1",".",".","44.4",".",".","",".",".",".",".","11.1","."
"Graduate","","129","3.892","58.9","9.3","1.6",".","0.8",".",".","16.3",".",".","",".","11.6","0.8",".","0.8","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1881","3.095","23.0","16.1","32.9","11.0","10.5","1.8","0.9","2.1","0.1",".","",".","0.9","0.4","0.1","0.1","0.3"
