"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","92","3.034","4.3","41.3","31.5","8.7","6.5","2.2","2.2","3.3",".",".",".",".",".",".",".","."
"","154","001","","14","3.357","35.7","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","154","002","","15","3.267","13.3","33.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","","29","3.310","24.1","27.6","37.9","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking for 3D Forms","215","001","","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","16","3.600","37.5","37.5","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Person & Environ Interactions","221","001","","63","2.984","19.0","15.9","36.5","12.7","9.5","6.3",".",".",".",".",".",".",".",".",".","."
"Interior Design I","222","001","","24","3.583","37.5","41.7","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","14","3.429","35.7","42.9","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","64","3.143","20.3","23.4","23.4","26.6","4.7",".",".","1.6",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","25","3.220","48.0","4.0","24.0","8.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"","420","001","","22","3.857","68.2","27.3",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","420","002","","23","3.565","43.5","39.1","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Twentieth Century Design","","Course Total","","45","3.705","55.6","33.3","4.4","2.2","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","17","3.382","35.3","29.4","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","001","","16","3.700","50.0","31.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","501","002","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","007","","24","3.667","45.8","41.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","009","","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","85","3.674","55.3","30.6","10.6","2.4",".",".",".","1.2",".",".",".",".",".",".",".","."
"Experimental Textile Design","528","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","001","","11","3.906","72.7","9.1",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","601","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","16","3.792","56.3","25.0","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Apparl Desgn:Profesnl Pract","610","001","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","33","3.188","15.2","36.4","33.3","6.1","3.0",".","3.0",".",".",".",".",".","3.0",".",".","."
"Topics-Ethnographc Textiles","640","001","","12","3.300","25.0","25.0","16.7","8.3","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"","691","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
