"","CIVIL AND ENVIRONMENTAL EN Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Construction Systems","290","001","28","3.107","3.6","46.4","28.6","17.9",".","3.6",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","63","2.937","4.8","15.9","57.1","9.5","11.1","1.6",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","96","2.776","7.3","8.3","54.2","11.5","11.5","5.2","2.1",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","49","2.990","6.1","40.8","16.3","22.4","12.2","2.0",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","69","3.341","27.5","26.1","39.1","1.4","5.8",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","50","2.694","16.0","16.0","20.0","12.0","22.0","10.0","2.0",".",".",".",".",".","2.0",".",".","."
"Structural Analysis I","340","001","66","3.152","24.2","21.2","33.3","9.1","10.6",".","1.5",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","10","3.350","30.0","30.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","63","3.230","27.0","15.9","42.9","7.9","4.8","1.6",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","118","2.983","22.0","17.8","20.3","19.5","17.8","2.5",".",".",".",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Groundwater Hydraulics","412","001","19","3.265","21.1","21.1","31.6","15.8",".",".",".","10.5",".",".",".",".",".",".",".","."
"Hydrologic Design","414","001","16","3.250","31.3","18.8","37.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","23","3.587","39.1","39.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrete Structures I","447","001","44","3.114","25.0","9.1","45.5","4.5","15.9",".",".",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","44","3.386","34.1","40.9","13.6","4.5","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","77","3.838","74.0","16.9","2.6","1.3","1.3",".",".","2.6",".",".",".",".","1.3",".",".","."
"Environmental Organic Chem","502","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hazardous Waste Management","522","001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","13","3.115","30.8","15.4","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","19","3.053","15.8","10.5","52.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","22","3.205","18.2","18.2","54.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","57","3.781","70.2","22.8","5.3",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","45","3.978","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","679","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","679","003","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","","Course Total","22","3.727","68.2","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","698","001","16","3.313","12.5","43.8","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","698","002","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","003","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","698","004","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 110 of 403",""
