"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","349","2.756","15.5","17.2","20.6","16.9","19.8","7.4","1.7",".",".",".",".",".","0.6",".",".","0.3"
"","102
001","39","3.872","74.4","25.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","38","3.671","50.0","42.1","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","39","3.833","71.8","23.1","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","39","3.737","61.5","25.6","7.7",".","2.6",".",".",".",".",".",".",".",".",".","2.6","."
"General Microbiology Lab","Course Total","155","3.779","64.5","29.0","3.9","0.6","1.3",".",".",".",".",".",".",".",".",".","0.6","."
"","299
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","14","3.806","78.6","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","239","2.787","17.6","9.2","26.8","10.9","33.5","1.7","0.4",".",".",".",".",".",".",".",".","."
"","304
001","35","3.057","11.4","34.3","25.7","17.1","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"","304
002","31","3.290","32.3","16.1","35.5","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"","304
003","38","2.932","18.4","7.9","44.7","10.5","10.5","2.6","2.6",".",".",".",".",".","2.6",".",".","."
"","304
004","37","3.189","21.6","21.6","48.6",".","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","141","3.111","20.6","19.9","39.0","9.2","7.1","2.8","0.7",".",".",".",".",".","0.7",".",".","."
"","305
001","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","43","3.930","90.7","7.0",".","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","38","3.184","39.5","5.3","31.6","5.3","15.8","2.6",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","82","3.031","22.0","18.3","22.0","17.1","19.5",".",".","1.2",".",".",".",".",".",".",".","."
"","399
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Divrsty, Ecol&Evolutn-Microorg","450
001","72","2.965","23.6","5.6","36.1","9.7","25.0",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","70","2.877","22.9","15.7","27.1","5.7","15.7","10.0","1.4","1.4",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","42","3.702","69.0","9.5","16.7","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","551
001","18","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","20","3.600","70.0",".","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","551
003","19","3.605","52.6","15.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","57","3.658","66.7","5.3","22.8","3.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Biol & Genetics-Filament Fungi","655
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Microbiol-Atomic Resolution","668
001","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 9 of 403"
