"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","1811","1.265","9.6","0.9","14.6","0.1","2.9","0.2","0.2","26.4","",".","0.6",".",".","0.4",".","0.1","1.4"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","7","3.786","57.1","42.9",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","10","3.850","70.0","30.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Special","","20","2.757","15.0","10.0","25.0","5.0",".",".",".","25.0","",".","10.0",".",".",".",".",".","."
"Graduate","","21","3.690","38.1","57.1",".",".",".",".",".",".","",".","4.8",".",".",".",".",".","."
"Prof Yr 1","","492","1.101","10.2",".","20.7",".","3.9",".",".",".","",".",".",".",".","0.2",".","0.2","."
"Prof Yr 2","","548","1.264","9.7",".","12.6",".","2.4","0.4","0.2","32.3","",".","0.9",".",".","0.4",".","0.2","2.9"
"Prof Yr 3","","589","1.234","6.5",".","11.9",".","3.4",".","0.3","42.1","",".","0.3",".",".","0.3",".",".","1.5"
"Prof Yr 4","","131","1.589","11.5",".","14.5","0.8","0.8","0.8",".","37.4","",".",".",".",".","1.5",".",".","."
"Professionals","","1760","1.208","8.9",".","14.8","0.1","3.0","0.2","0.2","26.9","",".","0.4",".",".","0.4",".","0.1","1.4"
"","College Total","1811","1.265","9.6","0.9","14.6","0.1","2.9","0.2","0.2","26.4","",".","0.6",".",".","0.4",".","0.1","1.4"
