"","990
077","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
078","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","93","",".",".",".",".","",".","",".","",".","41.9",".",".",".","58.1",".",".",".","."
"MED PHYS
621","Dept. Total","252","3.713","37.7","16.3","7.5","0.4","",".","",".","",".","15.5",".",".",".","21.4","0.4",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","5","3.700","60.0","20.0","20.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","13","3.636","46.2","38.5","15.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","19","3.667","52.6","31.6","15.8",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special","","5","3.750","40.0",".","20.0",".","",".","",".","",".",".",".",".",".","40.0",".",".",".","."
"Graduate","","223","3.719","36.8","14.8","6.7","0.4","",".","",".","",".","17.0",".",".",".","22.9","0.4",".","0.9","."
"Prof Yr 3","","2","3.500",".","50.0",".",".","",".","",".","",".",".",".",".",".","50.0",".",".",".","."
"Prof Yr 4","","3","3.750","33.3","33.3",".",".","",".","",".","",".","33.3",".",".",".",".",".",".",".","."
"Professionals","","5","3.643","20.0","40.0",".",".","",".","",".","",".","20.0",".",".",".","20.0",".",".",".","."
"","Dept. Total","252","3.713","37.7","16.3","7.5","0.4","",".","",".","",".","15.5",".",".",".","21.4","0.4",".","0.8","."
