"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Legal Sources","602
001","14","1.214","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Writing (LL.M.-L.I.)","603
001","7","1.929","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","73","1.111","13.7",".","16.4",".","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"","724
001","69","1.072","8.7",".","23.2",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","724
002","48","1.063","12.5",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","724
003","69","1.072","10.1",".","20.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","186","1.070","10.2",".","21.0",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","725
001","63","1.397","12.7",".","25.4",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","731
002","53","1.314","9.4",".","24.5",".","7.5",".",".",".",".",".",".",".","1.9",".","1.9","."
"","731
003","47","1.043","6.4",".","23.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","731
005","56","1.054","7.1",".","23.2",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","156","1.136","7.7",".","23.7",".","5.1",".",".",".",".",".",".",".","0.6",".","0.6","."
"Payments Systems","735
001","12","2.000","41.7",".",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","35","1.276","11.4",".","14.3",".","8.6",".",".","17.1",".",".",".",".",".",".",".","."
"Constitutional Law II","740
001","10","1.000","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","62","0.983","11.3",".","14.5",".","1.6",".",".","4.8",".",".",".",".",".",".","1.6","."
"Taxation I","742
001","41","1.231","9.8",".","19.5",".","9.8",".",".","4.9",".",".",".",".",".",".",".","."
"","743
002","15","1.333","13.3",".","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
003","11","1.273","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Negotiations","Course Total","30","1.352","16.7",".","23.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Legislation","746
001","52","1.149","9.6",".","19.2",".","3.8",".",".","9.6",".",".",".",".",".",".",".","."
"Trademarks","749
001","18","2.294","22.2",".","27.8",".","16.7","11.1",".","5.6",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Evidence","801
001","35","1.103","8.6",".","17.1",".","2.9",".",".","17.1",".",".",".",".",".",".",".","."
"Civil Procedure II","802
002","83","1.007","8.4",".","15.7","1.2","2.4",".",".","12.0",".",".",".",".",".",".",".","."
"","808
001","11","1.000","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","15","0.867","6.7",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
005","8","2.125","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
006","11","3.708","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","45","1.561","26.7","6.7","17.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appellate Advocacy I","814
001","6","2.833","50.0",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","815
001","23","",".",".",".",".",".",".",".","95.7",".",".",".",".",".",".",".","4.3"
"","815
002","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
007","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","55","",".",".",".",".",".",".",".","98.2",".",".",".",".",".",".",".","1.8"
"Family Law II","823
001","26","1.346","11.5",".","26.9",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838
001","17","1.438","11.8",".","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro to Environmental Law","848
001","16","0.615","12.5",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 328 of 403",""
