"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","170
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","","69","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","","64","2.852","20.3","25.0","20.3","14.1","4.7","10.9","4.7",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","","97","2.845","21.6","5.2","42.3","3.1","20.6","4.1","3.1",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","","31","3.083","19.4","12.9","41.9","9.7","12.9",".",".",".",".",".",".",".","3.2",".",".","."
"","252
001","","38","3.211","39.5","10.5","36.8",".","5.3","5.3","2.6",".",".",".",".",".",".",".",".","."
"","252
002","","30","3.033","33.3","13.3","26.7","6.7","10.0","6.7","3.3",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","","68","3.132","36.8","11.8","32.4","2.9","7.4","5.9","2.9",".",".",".",".",".",".",".",".","."
"","270
001","","9","3.375","33.3","22.2","11.1","22.2",".",".",".",".",".",".",".",".","11.1",".",".","."
"","270
002","","14","3.429","14.3","64.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","270
004","","13","3.500","30.8","53.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","270
005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","","52","3.580","42.3","36.5","9.6","5.8","1.9",".",".",".",".",".",".",".","3.8",".",".","."
"","271
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","","13","3.346","46.2","23.1","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","305
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","12","3.455","58.3","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".","8.3",".",".","."
"Intro Microprocessor Lab","Course Total","","24","3.543","45.8","33.3","8.3","4.2",".","4.2",".",".",".",".",".",".","4.2",".",".","."
"Sensors Laboratory","317
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","","44","3.216","29.5","20.5","22.7","22.7","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","","19","3.184","31.6","15.8","26.3","21.1",".","5.3",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","","53","2.837","20.8","11.3","15.1","20.8","28.3","1.9",".",".",".",".",".",".","1.9",".",".","."
"Intro-Random Sig Anal&Stats","331
001","","24","3.188","20.8","33.3","29.2","12.5",".",".","4.2",".",".",".",".",".",".",".",".","."
