"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","139","3.906","88.5","6.5","2.2","0.7","1.4",".",".","0.7",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","40","2.551","15.0",".","37.5","7.5","27.5","2.5","7.5",".",".",".",".",".",".",".",".","2.5"
"Envir St-Social Perspective","112","001","233","3.768","71.7","19.3","2.1","4.3","0.9","0.4","0.4","0.4",".",".",".",".","0.4",".",".","."
"","120","001","36","2.861","13.9","8.3","44.4","19.4","5.6","8.3",".",".",".",".",".",".",".",".",".","."
"","120","002","67","3.060","22.4","23.9","23.9","11.9","14.9","1.5","1.5",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","103","2.990","19.4","18.4","31.1","14.6","11.7","3.9","1.0",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.939","95.1","2.4",".",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","20","2.825","25.0","15.0","25.0","10.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","47","2.872","10.6","29.8","23.4","17.0","8.5","10.6",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","14","3.393","50.0","14.3","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Environmental Studies","200","002","16","3.500","43.8","25.0","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","21","3.762","85.7",".",".","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","19","2.605","26.3","15.8","5.3","10.5","21.1","15.8","5.3",".",".",".",".",".",".",".",".","."
"Intro to Sustainability Sci","250","001","28","3.462","42.9","10.7","32.1","3.6","3.6",".",".","7.1",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","46","2.591","15.2","6.5","19.6","15.2","30.4","6.5","2.2","2.2","2.2",".",".",".",".",".",".","."
"","339","002","59","2.569","5.1","6.8","37.3","16.9","23.7","6.8","1.7","1.7",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","105","2.578","9.5","6.7","29.5","16.2","26.7","6.7","1.9","1.9","1.0",".",".",".",".",".",".","."
"Environmental Economics","343","001","41","3.221","26.8","24.4","17.1","2.4","12.2","2.4",".","9.8",".",".",".",".","2.4",".","2.4","."
"Wetlands Ecology","361","001","32","3.403","28.1","34.4","21.9","12.5",".",".",".","3.1",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","29","3.520","34.5","31.0","13.8","3.4","3.4",".",".","10.3",".",".",".",".","3.4",".",".","."
"Envr Law, Toxic Subst&Consv","368","001","125","2.946","13.6","19.2","33.6","16.8","8.0","4.8","0.8","2.4",".",".",".",".","0.8",".",".","."
"Intro to Geog Info Systems","377","001","10","3.722","60.0","10.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","402","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Minerals - A Public Problem","410","001","19","2.816","5.3","10.5","42.1","26.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441","001","35","3.176","14.3","40.0","20.0","11.4","11.4",".",".",".",".",".",".",".","2.9",".",".","."
"World Forest History","452","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Impact-Livestock Operatn","468","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","57","3.616","36.8","49.1","10.5","1.8",".",".",".","1.8",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","17","3.118","29.4","11.8","35.3",".","23.5",".",".",".",".",".",".",".",".",".",".","."
"","511","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","511","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","6","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Bioclimatology","520","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","32","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","3.1","3.1",".","."
