"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Basic Concepts of Math","371","001","","41","3.037","26.8","12.2","24.4","24.4","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376","001","","31","3.113","32.3","9.7","29.0","12.9","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421","001","","42","3.190","19.0","26.2","40.5","11.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"","431","001","","33","2.871","21.2","15.2","21.2","15.2","12.1","6.1","3.0","6.1",".",".",".",".",".",".",".","."
"","431","002","","35","3.257","31.4","17.1","25.7","22.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","431","003","","37","2.681","27.0","8.1","13.5","10.8","24.3","8.1","5.4",".",".",".",".",".",".",".",".","2.7"
"Intro-Theory of Probability","","Course Total","","105","2.936","26.7","13.3","20.0","16.2","13.3","4.8","2.9","1.9",".",".",".",".",".",".",".","1.0"
"Introduction to Cryptography","435","001","","13","3.409","30.8","23.1","15.4","15.4",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"Intro to Modern Algebra","441","001","","18","3.722","72.2","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","38","3.514","39.5","34.2","13.2","7.9","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Intro-Combinatorics","475","001","","28","2.946","32.1","7.1","25.0","3.6","25.0","7.1",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","13","2.500","15.4","7.7","30.8","7.7","7.7","15.4","7.7",".",".",".",".",".",".","7.7",".","."
"","521","001","","33","2.871","27.3","9.1","21.2","3.0","27.3","3.0","3.0",".",".",".",".",".","6.1",".",".","."
"","521","002","","28","2.679","25.0","17.9","14.3","10.7","10.7","14.3","7.1",".",".",".",".",".",".",".",".","."
"","521","003","","20","2.475","15.0",".","20.0","25.0","25.0","15.0",".",".",".",".",".",".",".",".",".","."
"Analysis I","","Course Total","","81","2.703","23.5","9.9","18.5","11.1","21.0","9.9","3.7",".",".",".",".",".","2.5",".",".","."
"Analysis II","522","001","","21","2.800","23.8","9.5","28.6","9.5","14.3",".","9.5","4.8",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","18","3.111","16.7","33.3","27.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","541","001","","25","3.040","36.0","16.0","16.0","8.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","541","002","","27","3.056","29.6","37.0","11.1","3.7","3.7","7.4","7.4",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","52","3.048","32.7","26.9","13.5","5.8","9.6","5.8","5.8",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","17","2.867","29.4","11.8","11.8","11.8","11.8","5.9","5.9","5.9",".",".",".",".","5.9",".",".","."
"Elementary Topology","551","001","","21","2.368","19.0","4.8","14.3","4.8","33.3",".","14.3",".",".",".",".",".","9.5",".",".","."
"Elem Geom & Alg Topology","552","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Differential Geometry","561","001","","13","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Math Mthds for Systems Biology","609","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis III","621","001","","11","3.227","18.2","27.3","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","15","3.731","53.3","20.0","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","35","2.441","17.1","11.4","17.1","5.7","17.1","28.6",".","2.9",".",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ordinary Differntl Equatns","716","001","","20","3.775","80.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","9","3.556","55.6",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 256 of 403",""
