"","967
008","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","967
009","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","967
010","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Urology Clerkship-CSC","Course Total","8","3.625","25.0","75.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"SURGERY
936","Dept. Total","187","3.715","52.9","28.3","9.1",".","",".","",".","",".","8.6","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.923","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","15","3.886","80.0","13.3","6.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","21","3.989","85.7","4.8",".",".","",".","",".","",".",".","",".",".","",".","",".","9.5",".",".","."
"Undergraduates","","42","3.941","83.3","9.5","2.4",".","",".","",".","",".",".","",".",".","",".","",".","4.8",".",".","."
"Graduate","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","30","3.617","36.7","53.3","10.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","114","3.717","45.6","28.9","11.4",".","",".","",".","",".","14.0","",".",".","",".","",".",".",".",".","."
"Professionals","","144","3.672","43.8","34.0","11.1",".","",".","",".","",".","11.1","",".",".","",".","",".",".",".",".","."
"","Dept. Total","187","3.715","52.9","28.3","9.1",".","",".","",".","",".","8.6","",".",".","",".","",".","1.1",".",".","."
