"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Mass Media & Human Behavior","325","001","108","3.287","17.6","40.7","27.8","11.1","1.9","0.9",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","95","3.372","16.8","48.4","26.3","6.3","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"Introduction to Film","350","001","147","2.990","9.5","28.6","30.6","15.6","11.6","0.7","1.4",".",".",".",".",".","0.7",".","1.4","."
"Introduction to Television","351","001","170","3.356","17.6","48.2","26.5","5.3","1.8",".","0.6",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","91","2.983","15.4","25.3","29.7","15.4","5.5","3.3","3.3",".",".",".",".",".",".","2.2",".","."
"Intro to Media Production","355","001","112","3.259","17.9","39.3","28.6","7.1","6.3","0.9",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","116","2.908","20.7","14.7","24.1","17.2","15.5","5.2","0.9","0.9",".",".",".",".","0.9",".",".","."
"Great Speakers and Speeches","370","001","184","3.115","8.7","42.4","27.7","10.3","4.9","1.1","2.2","2.2",".",".",".",".",".",".","0.5","."
"The Rhetoric of Religion","374","001","87","3.040","6.9","32.2","40.2","10.3","8.0","1.1","1.1",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","44","3.500","27.3","50.0","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","61","3.426","14.8","62.3","16.4","6.6",".",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","18","3.500","33.3","27.8","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","20","3.250","30.0","15.0","40.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","41","3.713","41.5","56.1",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Editing & Post-prod:Video&Film","465","001","16","3.500","18.8","62.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","14","3.357","21.4","42.9","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","47","3.272","4.3","53.2","31.9","8.5",".",".",".",".",".",".",".",".","2.1",".",".","."
"Rhetoric and Technology","472","001","17","3.265","5.9","52.9","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Criticism","476","001","17","3.647","58.8","23.5","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Media, Deliberatn & Public Iss","525","001","23","3.152","17.4","30.4","30.4","17.4",".","4.3",".",".",".",".",".",".",".",".",".","."
"American Cinema Since 1970","552","001","88","3.109","6.8","28.4","46.6","13.6","3.4",".",".","1.1",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","38","3.750","68.4","21.1","5.3","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","22","3.250","22.7","27.3","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","609","001","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","609","002","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","","Course Total","27","3.630","44.4","37.0","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","001","15","3.846","66.7","13.3","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","610","002","18","3.375","27.8","27.8","22.2","5.6","5.6",".",".","5.6",".",".",".",".","5.6",".",".","."
"","610","003","19","3.447","26.3","42.1","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","610","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","","Course Total","57","3.575","43.9","26.3","17.5","3.5","1.8",".",".","1.8",".",".",".",".","5.3",".",".","."
"Topics-Communicatn Science","612","001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","001","19","3.658","57.9","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","613","002","20","3.500","35.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","613","003","44","3.693","43.2","52.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","004","18","3.444","16.7","61.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","613","005","31","3.323","22.6","35.5","35.5","3.2",".","3.2",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","132","3.538","35.6","42.4","18.2","3.0",".","0.8",".",".",".",".",".",".",".",".",".","."
"","614","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 183 of 403",""
