"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"739
Distributed Systems","001","","29","3.714","48.3","41.4","6.9",".",".",".",".",".",".",".",".",".",".","3.4",".","."
"740
Advanced Computer Networks","001","","22","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"747
Adv Cmputr Sys Anal Techniq","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","13","3.792","53.8","38.5",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"764
Topics-Database Mgt Systems","001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"769
Adv Natural Lang Processing","001","","31","3.750","64.5","25.8",".","3.2","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"776
Advanced Bioinformatics","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"777
Computer Animation","001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","099","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","101","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Master's Research","Course Total","","88","",".",".",".",".",".",".",".","98.9",".",".",".",".",".",".","1.1","."
