"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","257","3.334","14.0","47.5","31.9","5.1","0.8",".","0.4",".",".",".",".",".",".",".","0.4","."
"","300
002","247","3.299","8.1","51.8","32.8","6.1","0.4","0.4",".","0.4",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","504","3.317","11.1","49.6","32.3","5.6","0.6","0.2","0.2","0.2",".",".",".",".",".",".","0.2","."
"","305
001","65","3.300","26.2","26.2","35.4","6.2","6.2",".",".",".",".",".",".",".",".",".",".","."
"","002
305","59","3.229","16.9","22.0","50.8","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","124","3.266","21.8","24.2","42.7","8.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"","310
001","58","3.553","39.7","36.2","15.5","6.9",".",".",".",".",".",".",".",".",".",".",".","1.7"
"","310
002","55","3.573","50.9","21.8","20.0","5.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","113","3.563","45.1","29.2","17.7","6.2","0.9",".",".",".",".",".",".",".",".",".",".","0.9"
"","399
118","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
144","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
160","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","57","3.553","29.8","50.9","19.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
415","62","3.392","29.0","21.0","43.5","3.2",".",".",".",".",".",".",".",".",".",".","3.2","."
"Marketing Communications","Course Total","119","3.470","29.4","35.3","31.9","1.7",".",".",".",".",".",".",".",".",".",".","1.7","."
"Enterprise Sys & Supply Chain","427
001","44","3.295","25.0","27.3","36.4","9.1",".","2.3",".",".",".",".",".",".",".",".",".","."
"","460
001","39","2.808","10.3","10.3","41.0","12.8","23.1","2.6",".",".",".",".",".",".",".",".",".","."
"","002
460","60","2.933","20.0","11.7","30.0","18.3","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","99","2.884","16.2","11.1","34.3","16.2","19.2","3.0",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","55","3.769","58.2","34.5","5.5",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"","640
001","32","2.953","18.8","15.6","28.1","18.8","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"","640
002","33","3.258","30.3","30.3","9.1","21.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","65","3.108","24.6","23.1","18.5","20.0","12.3","1.5",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","30","3.683","56.7","23.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
001","37","3.838","67.6","32.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
030","58","3.440","27.6","36.2","32.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","95","3.595","43.2","34.7","20.0","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","29","3.804","75.9","13.8",".","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","52","3.760","51.9","48.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","737
001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","737
002","20","3.725","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developg New","Course Total","37","3.770","56.8","40.5","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","49","3.786","75.5","6.1","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","108","3.889","85.2","4.6","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
223","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual-Based Marketing Insights","805
001","40","3.463","32.5","30.0","35.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Models in Marketing","815
001","30","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","972
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","990
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
