"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","78","2.658","16.7","11.5","21.8","16.7","14.1","6.4","6.4","6.4",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","222","3.327","27.9","30.6","15.3","7.7","3.2","0.5","2.3","12.6",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","35","3.071","22.9","28.6","28.6","2.9","8.6","5.7","2.9",".",".",".",".",".",".",".",".","."
"Netherlandish Painting-17c","333","001","14","3.667","57.1","14.3","7.1",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"Italian Baroque Art","341","001","44","3.100","11.4","34.1","18.2","15.9","11.4",".",".","9.1",".",".",".",".",".",".",".","."
"Brit Art & Soc,18 c-Present","346","001","48","3.536","27.1","47.9","4.2","8.3",".",".",".","10.4",".",".",".",".","2.1",".",".","."
"History of Photography","355","001","13","3.115","23.1","30.8",".","38.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hist of Amer Art, 1607-Present","364","001","49","3.744","49.0","22.4","6.1","2.0",".",".",".","20.4",".",".",".",".",".",".",".","."
"Topics in Twentieth-Cent Art","408","001","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Topics in Medieval Art","415","001","25","3.395","32.0","20.0","16.0",".","4.0","4.0",".","24.0",".",".",".",".",".",".",".","."
"Visual Cultures of South Asia","428","001","27","2.880","7.4","11.1","48.1","18.5",".","7.4",".","7.4",".",".",".",".",".",".",".","."
"Topics in Theory","431","001","21","3.452","38.1","33.3","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Multiculturalism&New Museology","432","001","29","3.536","41.4","37.9","10.3","3.4",".","3.4",".","3.4",".",".",".",".",".",".",".","."
"Topics-Architecturl History","449","001","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Am Vernclr Archtr&Landscp","457","001","32","3.583","37.5","40.6","12.5",".","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","11","4.000","81.8",".",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Prosem-Ital Renaissance Art","525","001","8","3.188","37.5","12.5","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"19th Cent European Art","555","001","12","3.083","16.7","50.0",".","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-Amer Architecture","567","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Map & Represent Colonial Space","621","001","9","3.563","44.4","33.3",".",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Senior Honors Thesis","681","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","3.778","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","704","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 163 of 403",""
