"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Special Topics in Music","Course Total","","24","3.820","79.2","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"499","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.909","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"50
Concert Choir","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511
Historicl Performance Pract","001","","21","3.571","47.6","19.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Prosem-Ethnomusicology","001","","10","3.625","40.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"52
Women's Chorus","001","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"53
Choral Union","001","","40","3.900","92.5",".","5.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"542
Choral Lit &Perf Prac-Today","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"546
String Literature","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"55
Masters' Singers","001","","56","3.981","94.6",".","1.8",".",".",".",".","1.8",".",".",".",".",".",".",".","1.8"
"553
Advanced Conducting","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"556
University Opera","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"557
Opera Workshop","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"56
Chorale","001","","58","3.930","96.6",".",".",".",".",".","1.7",".",".",".",".",".","1.7",".",".","."
"560
Prac Adv Studio Teach-Piano","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562
Jazz Ensemble","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Advanced Ensemble-Woodwind","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"567","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"568","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ensemble-Percussion","Course Total","","4","***","","","","","","","","","","","","","","","",""
"569","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"569","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-String","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Univ Symphony Orchestra","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"571
Chamber Orchestra","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Adv Ensmbl-Classical Guitar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Wind Ensemble","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"577
Chorale","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"578
Concert Choir","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"58
Madrigal Singers","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
