"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"600","003","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","004","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","86","3.899","79.1","17.4","1.2",".",".",".",".",".",".",".",".",".","1.2","1.2",".","."
"601
Sys Thinking & Sustainable Bus","001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","23","3.022","8.7","30.4","34.8","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"668
Green Pol:Glb Expr,Am Prosp","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","10","3.667","50.0","30.0",".","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","20","3.400","35.0","20.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"699","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","32","4.000","90.6",".",".",".",".",".",".",".",".",".",".",".","6.3",".","3.1","."
"718
Water Res Mgt Pract Pl Smr","001","","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Colloquium in Air Pollution","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"772
Pract-Transportatn Mgmt&Policy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"806
Local&Regional Sustainability","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"807
Prof Skills-Regnl & Local Sust","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Rsrce Pol Iss:Regional&Natl","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Sci & Envir Communication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","005","","10","3.778","70.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"Seminar","Course Total","","32","3.879","75.0","15.6",".","3.1",".",".",".","3.1",".",".",".",".",".","3.1",".","."
"976
Conservtn Biol&Sustainable Dev","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 151 of 403",""
