"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","209","2.907","13.9","19.6","27.8","20.1","15.8","1.4","1.4",".",".",".",".",".",".",".",".","."
"","103
002","213","2.896","17.8","18.3","23.5","17.4","18.3","2.3","1.9","0.5",".",".",".",".",".",".",".","."
"General Physics","Course Total","422","2.901","15.9","19.0","25.6","18.7","17.1","1.9","1.7","0.2",".",".",".",".",".",".",".","."
"","104
001","294","3.070","25.2","18.7","20.1","17.7","17.7",".","0.3",".",".",".",".",".","0.3",".",".","."
"","104
002","224","2.847","17.4","12.1","21.4","24.6","21.9","0.9","0.9",".",".",".",".",".","0.9",".",".","."
"General Physics","Course Total","518","2.974","21.8","15.8","20.7","20.7","19.5","0.4","0.6",".",".",".",".",".","0.6",".",".","."
"","109
001","121","3.223","24.8","28.1","25.6","10.7","7.4","0.8","0.8",".",".",".",".",".","1.7",".",".","."
"","109
002","122","3.430","36.1","23.8","31.1","8.2","0.8",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","243","3.328","30.5","25.9","28.4","9.5","4.1","0.4","0.4",".",".",".",".",".","0.8",".",".","."
"Energy","115
001","90","3.017","21.1","18.9","21.1","20.0","18.9",".",".",".",".",".",".",".",".",".",".","."
"General Physics","201
001","226","2.967","22.1","15.9","21.2","22.6","15.0","2.2","0.9",".",".",".",".",".",".",".",".","."
"","202
001","94","2.968","22.3","16.0","22.3","16.0","21.3","2.1",".",".",".",".",".",".",".",".",".","."
"","002
202","257","2.912","20.2","15.2","24.1","16.3","20.2","3.5","0.4",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","351","2.927","20.8","15.4","23.6","16.2","20.5","3.1","0.3",".",".",".",".",".",".",".",".","."
"General Physics","207
001","146","2.777","15.8","15.1","22.6","24.0","14.4","5.5","2.7",".",".",".",".",".",".",".",".","."
"General Physics","208
001","252","3.099","20.6","24.6","26.6","17.5","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","8","3.071","25.0","12.5","25.0",".","25.0",".",".",".",".",".",".",".","12.5",".",".","."
"Intro to Modern Physics","241
001","48","2.446","2.1","6.3","12.5","33.3","41.7",".",".","2.1",".",".",".",".","2.1",".",".","."
"A Modern Intro to Physics","248
001","45","3.311","33.3","20.0","31.1","6.7","8.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","14","3.333","21.4","21.4","35.7","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"","299
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Physics Today","301
001","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
001","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
003","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","32","3.672","43.8","46.9","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","47","3.272","36.2","25.5","19.1","2.1","10.6","2.1","2.1",".",".",".",".",".",".",".","2.1","."
"Electromagnetic Fields","322
001","32","3.290","15.6","46.9","28.1","3.1",".",".","3.1","3.1",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325
001","19","3.211","26.3","21.1","42.1",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371
001","19","3.083","21.1","42.1","15.8","5.3",".",".","10.5","5.3",".",".",".",".",".",".",".","."
"Advanced Laboratory","407
001","24","3.439","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","15","3.400","26.7","33.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","33","3.076","24.2","12.1","39.4","15.2","6.1",".","3.0",".",".",".",".",".",".",".",".","."
"","499
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531
001","31","3.000","22.6","19.4","19.4","12.9","12.9","6.5",".","6.5",".",".",".",".",".",".",".","."
