"HEBREW (HEBREW AND SEMITI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"","102
001","17","3.382","41.2","29.4","11.8",".","17.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","11","3.091","27.3","27.3","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","102
003","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hebrew","Course Total","39","3.423","48.7","20.5","15.4","2.6","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","104
001","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202
001","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Food in Rabbinic Judasim","278
001","14","3.458","7.1","64.3","14.3",".",".",".",".","7.1",".",".",".",".",".",".","7.1","."
"Intro to Hebrew Literature","302
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","304
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Jewish Literature","318
001","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Biblical Hebrew, II","324
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Lit: Greco-Roman Period","346
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Texts","448
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","514
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","534
001","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Ugaritic Texts","603
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Isaiah","652
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"HEBR ST
440","Dept. Total","163","3.609","49.7","28.2","11.7","0.6","3.7","1.2",".","2.5",".",".",".","1.8",".",".","0.6","."
