"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","8414","3.529","41.4","18.0","15.0","2.4","2.2","0.5","0.2","14.2","0.0","3.4","0.0","1.6","0.5","0.0","0.3","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.464","47.1","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","144","3.281","52.1","12.5","18.1","4.2","7.6","2.1","1.4",".",".",".",".",".",".",".","2.1","."
"Junior","","636","3.286","47.5","12.6","21.9","4.9","7.9","2.5","1.3",".",".","0.2",".",".","0.6","0.2","0.6","."
"Senior","","1828","3.466","53.8","15.3","18.3","3.8","5.4","1.0","0.5","0.5","0.1","0.8",".","0.1","0.3","0.1","0.1","."
"Undergraduates","","2625","3.410","52.2","14.6","19.1","4.1","6.1","1.4","0.8","0.4","0.0","0.6",".","0.0","0.3","0.1","0.3","."
"Special","","152","3.514","46.7","17.8","15.8","2.0","3.9","0.7",".","3.9",".","0.7",".","1.3","1.3","0.7","5.3","."
"Graduate","","1485","3.726","39.2","15.1","4.2","0.6","0.4","0.1","0.1","28.6",".","1.8","0.3","8.7","0.5","0.1","0.4","."
"Prof Yr 1","","1415","3.551","20.6","15.3","5.2","1.6","0.5",".",".","48.5",".","7.8",".",".",".",".","0.1","0.4"
"Prof Yr 2","","1547","3.509","39.4","22.8","29.3","3.3","0.6",".",".","0.8",".","3.0",".","0.1","0.5",".",".","0.2"
"Prof Yr 3","","355","3.562","29.6","25.9","17.7","0.6",".",".",".","1.7",".","22.3",".","0.6","0.6",".","1.1","."
"Prof Yr 4","","858","3.750","55.8","25.4","9.8","0.5","0.1",".",".","5.5",".","0.8",".","0.2","1.7",".","0.1","."
"Professionals","","4175","3.587","35.6","21.1","16.1","1.9","0.4",".",".","18.0",".","5.8",".","0.1","0.6",".","0.1","0.2"
"","College Total","8437","3.529","41.6","17.9","15.0","2.4","2.2","0.5","0.2","14.1","0.0","3.4","0.0","1.6","0.5","0.0","0.3","0.1"
