"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"289","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","059","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"289","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","48","3.970","95.8",".","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"501
Introduction-Biochemistry","001","","386","3.096","25.4","16.8","28.2","10.9","16.3","1.3",".","0.5",".",".",".",".","0.5",".",".","."
"508
General Biochemistry II","001","","194","3.023","22.7","25.8","22.2","10.8","9.8","5.2","2.6",".",".",".",".",".","1.0",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","12","2.273","16.7",".","8.3","16.7","33.3","8.3","8.3","8.3",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","47","3.239","27.7","10.6","46.8","6.4","6.4",".",".","2.1",".",".",".",".",".",".",".","."
"575
Biology of Viruses","001","","21","2.738","19.0","19.0","14.3","4.8","38.1",".","4.8",".",".",".",".",".",".",".",".","."
"609
Math Mthds for Systems Biology","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","67","3.117","14.9","25.4","44.8","3.0","1.5","4.5","1.5","4.5",".",".",".",".",".",".",".","."
"625
Coenzymes&Cofactors-Enzymology","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","93","3.151","25.8","25.8","22.6","12.9","9.7","2.2","1.1",".",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 12 of 403"
