"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250","001","","92","3.747","77.2","8.7","5.4","2.2","4.3","1.1",".","1.1",".",".",".",".",".",".",".","."
"","275","001","","69","2.993","17.4","23.2","23.2","15.9","15.9","2.9",".",".",".",".",".",".",".",".",".","1.4"
"","275","002","","85","3.476","43.5","25.9","20.0","3.5","7.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","","154","3.261","31.8","24.7","21.4","9.1","11.0","1.3",".",".",".",".",".",".",".",".",".","0.6"
"Mediatn:Serving Consumr Int","350","001","","66","3.765","57.6","39.4","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","34","3.471","32.4","35.3","26.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","370","001","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","002","","11","3.091","27.3","27.3","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","","Course Total","","27","3.463","48.1","22.2","18.5","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","","39","3.282","33.3","23.1","25.6","7.7","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","","77","3.130","14.3","31.2","28.6","18.2","7.8",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478","001","","27","3.407","18.5","55.6","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","21","3.333","23.8","38.1","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","501","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","008","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","40","3.494","52.5","20.0","17.5","5.0","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","002","","30","3.300","30.0","23.3","33.3","10.0",".","3.3",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560","001","","22","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564","001","","43","3.651","39.5","51.2","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","16","3.781","75.0","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575","001","","24","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","001","","20","3.836","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603","001","","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","001","","44","3.273","18.2","38.6","29.5","6.8","6.8",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675","001","","24","3.250","20.8","37.5","25.0","12.5",".","4.2",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economc Organizatn-Househld","748","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Independent Study","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
