"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"301
001
Swim Endur&Stroke Proficncy","15","3.818","66.7",".",".",".","6.7",".",".","26.7",".",".",".","",".","",".",".",".","."
"303
001
Aquatic Conditioning","21","3.789","81.0",".",".",".","9.5",".",".","9.5",".",".",".","",".","",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"330
001
Triathlon Training","25","3.750","4.0","4.0",".",".",".",".",".","92.0",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","16","3.857","31.3","12.5",".",".",".",".",".","56.3",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1636","3.467","45.8","17.1","7.6","2.8","3.5","1.4","0.4","19.9","0.1",".","",".","",".","1.0","0.4","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","151","3.138","45.7","20.5","9.3","4.0","10.6","5.3",".","4.6",".",".","",".","",".",".",".",".","."
"Sophomore","283","3.411","52.7","19.1","8.1","4.9","4.9","1.8","0.4","6.7",".",".","",".","",".","1.1","0.4",".","."
"Junior","268","3.476","51.5","18.7","7.5","2.2","3.7","2.2",".","12.3",".",".","",".","",".","1.1","0.7",".","."
"Senior","721","3.596","49.1","17.3","7.1","2.1","1.8","0.6","0.6","19.8","0.1",".","",".","",".","1.1","0.4",".","."
"Undergraduates","1423","3.466","49.9","18.3","7.6","2.9","3.7","1.6","0.4","14.2","0.1",".","",".","",".","1.0","0.4",".","."
"Special","101","3.407","12.9","4.0","5.0","2.0","2.0",".",".","72.3",".",".","",".","",".",".",".","1.0","1.0"
"Graduate","91","3.520","25.3","12.1","7.7","2.2","2.2",".","1.1","47.3",".",".","",".","",".","2.2",".",".","."
"Prof Yr 1","4","3.333","25.0",".","50.0",".",".",".",".","25.0",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","14","3.375","7.1","28.6","21.4",".",".",".",".","42.9",".",".","",".","",".",".",".",".","."
"Prof Yr 4","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","21","3.464","19.0","23.8","23.8",".",".",".",".","33.3",".",".","",".","",".",".",".",".","."
"Dept. Total","1636","3.467","45.8","17.1","7.6","2.8","3.5","1.4","0.4","19.9","0.1",".","",".","",".","1.0","0.4","0.1","0.1"
