"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"614","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","2","***","","","","","","","","","","","","","","","",""
"659
Adv Motion Pic Prod Wkshp","001","","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"663
Media and Cultural Theory II","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"667
Hist of Amer Public Address","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Communicatn&Social Conflict","001","","18","3.194","22.2","22.2","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"698
Directed Study","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","30","3.949","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Communication Research Methods","001","","7","3.600","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"902
Film Colloquium","001","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
