"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Testing Desgn - Digital Sys","553","001","","18","3.500","55.6","16.7","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Data for Engineers","570","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Automatic Controls Lab","577","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Doctoral Research","611","002","","56","3.920","89.3","7.1","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","24","3.918","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program","702","001","","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711","001","","20","3.725","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711","003","","29","3.672","34.5","65.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamcs& Control-AC Drives","","Course Total","","49","3.694","38.8","61.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712","001","","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712","003","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Solid State Power Conversn","","Course Total","","28","3.815","60.7","35.7",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"On-Line Control-Power Sys","723","001","","16","3.833","50.0","25.0",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Semiconductor Diode Lasers","741","001","","17","3.906","76.5","17.6",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Computatnl Meth-Electromagntcs","742","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real-time Computing Systems","750","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","10","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"VLSI Systems Design","755","001","","16","3.567","43.8","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","6.3","."
"Adv Computr Architecture II","757","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","760","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Machine Learning","761","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Vision","766","001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cmpr Sec & Prvcy","782","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
