"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","202
001","234","3.783","82.1","6.0","5.6","3.0","1.3","0.9","0.9",".",".",".",".",".",".",".","0.4","."
"","202
002","307","3.333","41.0","22.5","15.0","8.8","5.5","4.9",".",".",".",".",".",".","2.0",".","0.3","."
"","202
003","268","3.399","49.3","18.7","13.4","10.1","4.5","1.9","1.9",".",".",".",".",".",".",".","0.4","."
"","202
005","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
006","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","202
007","14","2.885","21.4","21.4","7.1","14.3","21.4","7.1",".",".",".",".",".",".","7.1",".",".","."
"Introduction to Psychology","Course Total","856","3.492","56.1","16.4","11.3","7.5","4.1","2.7","0.8",".",".",".",".",".","0.8",".","0.4","."
"","210
001","58","2.353","6.9","10.3","25.9","8.6","34.5","3.4","10.3",".",".",".",".",".",".",".",".","."
"","210
002","49","2.296","6.1","8.2","22.4","6.1","42.9","8.2","6.1",".",".",".",".",".",".",".",".","."
"","210
003","60","2.792","21.7","5.0","30.0","10.0","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","210
004","65","2.931","23.1","18.5","24.6","4.6","23.1","4.6","1.5",".",".",".",".",".",".",".",".","."
"","210
005","60","3.575","73.3","6.7","6.7","5.0","1.7","5.0","1.7",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","292","2.813","27.1","9.9","21.9","6.8","25.0","5.5","3.8",".",".",".",".",".",".",".",".","."
"","225
001","52","3.202","21.2","28.8","25.0","19.2","5.8",".",".",".",".",".",".",".",".",".",".","."
"","225
002","46","3.337","28.3","28.3","30.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","225
006","138","3.146","31.2","13.0","37.7","2.9","9.4","2.9","2.2",".",".",".",".",".","0.7",".",".","."
"Research Methods","Course Total","236","3.196","28.4","19.5","33.5","7.6","7.6","1.7","1.3",".",".",".",".",".","0.4",".",".","."
"Issues in Psychology","311
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","36","3.472","33.3","38.9","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","2","***","","","","","","","","","","","","","","","",""
"Psychology Law & Social Policy","401
001","188","3.234","27.7","26.1","27.1","9.0","7.4","2.7",".",".",".",".",".",".",".",".",".","."
"Psychology of Personality","403
001","238","2.770","10.1","19.7","25.2","19.3","16.8","4.2","2.5","0.8",".",".",".",".","0.4",".","0.8","."
"Abnormal Psychology","405
001","374","3.457","48.4","16.6","24.1","5.3","3.5","1.6","0.5",".",".",".",".",".",".",".",".","."
"","406
001","152","3.017","28.9","22.4","13.2","15.1","11.2","3.9","3.9","0.7",".",".",".",".","0.7",".",".","."
"","406
002","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","Course Total","166","3.098","31.9","22.3","13.3","13.9","10.2","3.6","3.6","0.6",".",".",".",".","0.6",".",".","."
"","450
001","100","3.318","35.0","25.0","24.0","8.0","3.0","3.0","1.0",".",".",".",".",".","1.0",".",".","."
"","450
002","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Psychology","Course Total","113","3.357","35.4","26.5","23.9","7.1","2.7","2.7","0.9",".",".",".",".",".","0.9",".",".","."
"Human Sexuality","453
001","169","3.240","37.9","16.0","26.6","8.3","6.5","3.0","1.8",".",".",".",".",".",".",".",".","."
"","454
001","395","3.057","19.5","27.1","21.5","15.7","12.2","3.3","0.3",".",".",".",".",".","0.5",".",".","."
"","454
002","24","3.458","45.8","25.0","8.3","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","Course Total","419","3.087","21.0","27.0","20.8","15.8","11.7","3.1","0.2",".",".",".",".",".","0.5",".",".","."
"Adult Developmnt & Aging","464
001","387","3.691","64.9","14.2","8.8","2.8","2.8","0.8","0.3",".",".",".",".",".",".","5.4",".","."
"Depth Topic in Social Science","501
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Emotions:Biology-Culture","508
001","90","3.236","41.1","17.8","13.3","11.1","11.1","3.3","1.1","1.1",".",".",".",".",".",".",".","."
"Hormones, Brain, and Behavior","513
001","146","3.276","43.2","17.1","16.4","8.9","8.9","3.4","1.4",".",".",".",".",".","0.7",".",".","."
"Cognition in Health and Societ","525
001","168","3.339","31.0","31.0","19.6","11.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"Criminal Mind:Forensics/Scienc","526
001","158","3.783","78.5","10.8","6.3","0.6","1.3","1.3","0.6","0.6",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 330 of 480",""
