"612
M E","","","","","","","","","","","","","","","","","","","",""
"","990
080","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
087","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Dissertator Research&Thesis","Course Total","31","",".",".",".",".",".",".",".","90.3",".",".","",".","9.7",".",".",".","."
"612
M E","Dept. Total","3257","3.507","47.1","21.9","13.9","6.1","3.4","1.0","0.3","5.5","0.1","0.1","",".","0.4","0.3",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","59","3.534","49.2","25.4","15.3","6.8","1.7","1.7",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","341","3.593","61.9","16.1","9.7","5.9","5.6","0.6","0.3",".",".",".","",".",".",".",".",".","."
"Junior","","706","3.421","47.2","21.4","17.3","8.1","4.0","1.8","0.1",".",".",".","",".",".","0.1",".",".","."
"Senior","","1640","3.498","47.6","25.9","14.9","6.6","3.5","0.9","0.3",".",".",".","",".",".","0.3",".",".","."
"Undergraduates","","2746","3.492","49.3","23.5","14.9","6.9","3.8","1.1","0.3",".",".",".","",".",".","0.2",".",".","."
"Special","","24","3.418","45.8","20.8","25.0","4.2",".",".","4.2",".",".",".","",".",".",".",".",".","."
"Graduate","","583","3.652","29.0","10.6","6.5","1.5","0.9","0.2","0.2","47.0","0.5","0.5","",".","2.4","0.5",".","0.2","."
"","Dept. Total","3353","3.507","45.8","21.3","13.5","5.9","3.3","1.0","0.3","8.2","0.1","0.1","",".","0.4","0.3",".","0.0","."
