"L&S","","","","","","","","","","","","","","","","","",""
"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"345
005","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
006","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
American English Pronunciation","39","",".",".",".",".",".",".",".",".",".","94.9","5.1",".",".",".",".","."
"Academic Writing for Grads
349
003","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"Dept. Total
351
ESL","493","3.737","30.6","8.3","2.0","1.0","0.6",".","0.6",".",".","53.1","2.8",".","0.4","0.4",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"Freshmen","111","3.676","31.5","8.1","5.4","1.8","1.8",".",".",".",".","46.8","3.6",".","0.9",".",".","."
"Sophomore","172","3.707","37.2","11.0","1.7","1.7","0.6",".","1.2",".",".","43.6","2.3",".",".","0.6",".","."
"Junior","101","3.869","30.7","10.9",".",".",".",".",".",".",".","54.5","2.0",".","1.0","1.0",".","."
"Senior","49","3.760","42.9","4.1","2.0",".",".",".","2.0",".",".","46.9","2.0",".",".",".",".","."
"Undergraduates","433","3.737","34.9","9.5","2.3","1.2","0.7",".","0.7",".",".","47.3","2.5",".","0.5","0.5",".","."
"Special","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Graduate","64","",".",".",".",".",".",".",".",".",".","95.3","4.7",".",".",".",".","."
"Dept. Total","507","3.737","29.8","8.1","2.0","1.0","0.6",".","0.6",".",".","54.4","2.8",".","0.4","0.4",".","."
