"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","313","001","83","3.409","43.4","24.1","14.5","6.0","9.6","1.2",".",".",".",".",".",".",".","1.2",".","."
"","313","002","74","3.466","40.5","36.5","10.8","1.4","8.1",".","1.4","1.4",".",".",".",".",".",".",".","."
"","313","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Film and Media Studies","","Course Total","158","3.439","42.4","29.7","12.7","3.8","8.9","0.6","0.6","0.6",".",".",".",".",".","0.6",".","."
"Rhetoric and Health","317","001","88","3.644","52.3","29.5","10.2","6.8",".",".",".","1.1",".",".",".",".",".",".",".","."
"Media & Human Behavior","325","001","69","3.148","26.1","14.5","29.0","13.0","7.2","2.9",".","4.3",".",".",".",".","1.4","1.4",".","."
"Online Comm & Personal Rltnshp","345","001","97","3.490","47.4","23.7","19.6","4.1","2.1","3.1",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","138","3.615","54.3","26.1","5.1","5.1","2.9","0.7","0.7","5.1",".",".",".",".",".",".",".","."
"Television Industries","351","001","86","3.157","25.6","38.4","12.8","7.0","10.5","2.3","3.5",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","137","3.555","35.0","46.0","14.6","2.9",".","0.7",".",".",".",".",".",".","0.7",".",".","."
"History of Animated Film","357","001","52","3.153","32.7","13.5","23.1","11.5","9.6","1.9","1.9","5.8",".",".",".",".",".",".",".","."
"Sports Media","359","001","76","3.401","27.6","43.4","19.7","5.3","2.6",".","1.3",".",".",".",".",".",".",".",".","."
"Rhetoric, Politics, Culture","360","001","66","3.500","39.4","39.4","12.1",".","3.0","1.5","1.5","3.0",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","81","3.181","42.0","12.3","8.6","21.0","11.1","2.5","1.2","1.2",".",".",".",".",".",".",".","."
"Intercultural Rhetoric","373","001","60","3.700","60.0","26.7","8.3","3.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Entertainment Media","375","001","26","3.135","19.2","42.3","26.9",".","3.8",".","7.7",".",".",".",".",".",".",".",".","."
"Topics in Digital Studies","377","001","37","3.162","21.6","35.1","24.3","8.1","5.4","2.7","2.7",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419","001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Italian Film","460","001","54","3.821","74.1","14.8","7.4","1.9",".",".",".",".",".",".",".",".","1.9",".",".","."
"","465","001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","32","3.891","84.4","9.4","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468","001","20","3.725","65.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","468","002","18","3.556","55.6","33.3","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Producing Internet TV & Video","","Course Total","38","3.645","60.5","28.9","5.3",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","45","3.602","60.0","20.0","11.1",".","4.4",".","2.2",".",".",".",".",".","2.2",".",".","."
"Television Genres","540","001","20","3.275","50.0","10.0","20.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","28","3.143","35.7","17.9","14.3","17.9","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Globalization/Transnationalism","573","001","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Studies Capstone","605","001","130","",".",".",".",".",".",".",".",".",".","97.7","1.5",".",".",".",".","."
"Special Topics in Production","609","001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","001","15","3.821","73.3","13.3",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","613","002","14","3.500","21.4","42.9","7.1","7.1",".",".",".","7.1",".",".",".",".","14.3",".",".","."
"Special Topics in Film","","Course Total","29","3.680","48.3","27.6","3.4","6.9",".",".",".","3.4",".",".",".",".","10.3",".",".","."
"Field Exper in Communicatn","614","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Motion Pic Prod Wkshp","659","001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 216 of 480",""
