"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","46","3.250","32.6","30.4","8.7","15.2","10.9","2.2",".",".",".",".",".",".",".",".",".","."
"","300
002","110","3.082","15.5","32.7","25.5","10.9","12.7","2.7",".",".",".",".",".",".",".",".",".","."
"","300
003","81","3.068","23.5","14.8","34.6","13.6","9.9","3.7",".",".",".",".",".",".",".",".",".","."
"","300
004","87","2.977","16.1","21.8","29.9","12.6","17.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"","300
100","46","2.932","21.7","17.4","23.9","8.7","17.4","4.3","2.2",".",".",".",".",".",".","4.3",".","."
"Operations Management","Course Total","370","3.057","20.3","24.1","26.2","12.2","13.5","2.7","0.5",".",".",".",".",".",".","0.5",".","."
"Principles & Tech-Qual Mgmt","351
001","19","3.526","31.6","47.4","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","423
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","Course Total","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427
002","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","Course Total","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
001","30","3.817","70.0","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
002","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
003","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
004","26","3.885","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","94","3.867","77.7","18.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","453
001","29","3.776","58.6","37.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","453
002","37","3.608","35.1","51.4","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Analytics","Course Total","66","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Product Management","701
001","55","3.636","43.6","43.6","9.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
050","64","3.883","78.1","20.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Strategy","Course Total","88","3.886","78.4","20.5","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Analytics","714
001","45","3.711","48.9","44.4","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","18","3.444","16.7","61.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","727
001","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
020","36","3.625","47.2","30.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
021","34","3.544","44.1","20.6","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
051","36","3.514","33.3","36.1","30.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","106","3.561","41.5","29.2","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
050","55","3.636","49.1","29.1","21.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
051","37","3.568","48.6","35.1","10.8","2.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","92","3.609","48.9","31.5","17.4","1.1",".",".","1.1",".",".",".",".",".",".",".",".","."
"Managing by Design","760
050","59","3.669","45.8","42.4","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
010","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 66 of 480"
