"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"790","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","31","",".",".",".",".",".",".",".","67.7",".",".",".","32.3",".",".",".","."
"803","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","21","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"Materials Research Seminar
900","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 156 of 480",""
