"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","13","3.724","92.3",".",".",".",".","",".","7.7",".","",".",".","",".",".","",".",".",".","."
"Senior","","44","3.460","68.2","2.3","11.4",".","11.4","",".","6.8",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","59","3.497","72.9","1.7","8.5",".","10.2","",".","6.8",".","",".",".","",".",".","",".",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","41","3.800","26.8",".",".","2.4",".","",".",".","12.2","",".",".","",".","58.5","",".",".",".","."
"Prof Yr 3","","6","4.000","16.7",".",".",".",".","",".",".","83.3","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","7","",".",".",".",".",".","",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","13","4.000","7.7",".",".",".",".","",".",".","92.3","",".",".","",".",".","",".",".",".","."
