"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Jazz in 20th-Century America","102
001","280","3.668","67.5","15.4","7.1","4.3","2.5","0.7","1.1","1.4",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","178","3.932","91.6","2.2","5.6",".",".",".",".",".",".",".",".",".",".",".","0.6","."
"","113
001","669","3.795","84.5","6.4","1.5","3.6","1.9","0.7","1.0",".",".",".",".",".",".","0.3",".","."
"","113
002","662","3.943","95.5","1.1","2.1","0.2","0.5","0.5","0.2",".",".",".",".",".",".",".","0.2","."
"","113
003","654","3.802","88.4","0.9","5.4","1.1","1.7","1.4","1.2",".",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1985","3.847","89.4","2.8","3.0","1.6","1.4","0.9","0.8",".",".",".",".",".",".","0.1","0.1","."
"","122
001","28","3.714","60.7","25.0","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","122
002","45","3.722","62.2","24.4","8.9","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","73","3.719","61.6","24.7","9.6","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","151
001","35","3.843","88.6","2.9","2.9",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"","151
002","63","3.438","39.7","14.3","7.9","7.9","4.8",".","1.6",".",".",".",".",".",".",".","23.8","."
"Basic Concepts-Music Theory","Course Total","98","3.608","57.1","10.2","6.1","5.1","5.1",".","1.0",".",".",".",".",".",".",".","15.3","."
"","172
101","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
105","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","73","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","51","3.955","78.4","7.8",".",".",".",".",".","13.7",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","24","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Theory & Composition","229
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interplay betw Music, Art, Soc","240
001","39","3.923","89.7","5.1","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro. Conducting and Pedagogy","252
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
043","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Hand Drumming Ensemble","Course Total","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
064","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
066","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
096","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
149","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 305 of 480",""
