"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","8","4.000","87.5",".",".",".",".",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
"Undergraduates","14","4.000","92.9",".",".",".",".",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
"Graduate","17","",".",".",".",".",".",".","",".","88.2","",".",".","",".","11.8","","",".",".",".","."
"Prof Yr 1","376","3.528","60.1","11.7","16.8","5.3","5.6","0.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","184","3.475","45.1","22.8","23.4","6.5","2.2",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","561","3.511","55.1","15.3","18.9","5.7","4.5","0.4","",".","0.2","",".",".","",".","",".","",".",".",".","."
