"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People
123","001","","45","3.651","53.3","22.2","17.8",".","2.2",".",".","2.2",".",".",".",".","2.2",".",".","."
"154","001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"154","002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Antibiotic Discovery Research","Course Total","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Microbiomes
315","001","","41","3.561","43.9","31.7","17.1","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fungi
332","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of the Fungi
333","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Organic Agriculture
367","001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Study - Organic Agr
499","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant-Microbe Interactions
505","001","","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phylogenet Analysis-Molec Data
563","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Plant Pathology Tchg
799","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
875","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar
923","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 38 of 480"
