"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis
110","001","","58","3.483","44.8","29.3","10.3","12.1","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Anatomy & Physiology of Speech
201","001","","50","3.200","36.0","16.0","24.0","12.0","6.0","6.0",".",".",".",".",".",".",".",".",".","."
"Hearing Science
202","001","","63","3.234","33.3","22.2","19.0","11.1","9.5","3.2",".","1.6",".",".",".",".",".",".",".","."
"Neural Base Comm
210","001","","185","3.495","47.0","29.7","12.4","2.2","4.9","1.1","1.6","0.5",".",".",".",".",".","0.5",".","."
"Voice, Craniofac & Fluency Dis
318","001","","84","3.649","64.3","15.5","16.7",".","1.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults
371","001","","72","3.944","98.6",".",".",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation
425","001","","75","3.767","73.3","20.0","1.3","2.7","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Child Language Disorders
440","001","","91","3.835","84.6","7.7","4.4","1.1","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","62","3.931","80.6","14.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults
704","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn
705","001","","29","3.828","82.8",".","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders
707","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Methods in Lang Dis
709","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone in Comm Sci & Dis
752","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","16","3.968","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"790","009","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","62","3.988","93.5","1.6",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 219 of 480",""
