"Topics in LACIS","Course Total
15","3.944","80.0","6.7","",".",".","",".","",".","",".","6.7","",".",".",".",".","6.7",".",".","."
"699","005
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","011
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total
2","***","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","Dept. Total
28","3.948","75.0","7.1","",".",".","",".","",".","",".","10.7","",".",".",".",".","3.6",".","3.6","."
"Summary by Level","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","","","",".",".",".","33.3",".",".","."
"Junior","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","6","3.800","66.7","33.3","",".",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","13","3.903","76.9","15.4","",".",".","",".","",".","",".",".","",".",".",".",".","7.7",".",".","."
"Special","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","11","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","",".",".",".",".",".","100.0","."
"Professionals","1","***","","","","","","","","","","","","","","",".",".",".",".",".","100.0","."
"","Dept. Total
28","3.948","75.0","7.1","",".",".","",".","",".","",".","10.7","",".",".",".",".","3.6",".","3.6","."
