"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"HORT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","12","3.423","50.0","8.3","25.0","8.3","8.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","42","3.453","61.9","11.9","14.3","2.4","9.5",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","142","3.424","64.8","10.6","10.6","4.9","4.2","3.5","1.4",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","199","3.422","62.8","10.6","12.6","5.0","5.5","2.5","1.0",".","",".",".","",".",".","",".",".",".","."
"Special","","9","4.000","66.7",".",".",".",".",".",".","33.3","",".",".","",".",".","",".",".",".","."
"Graduate","","61","3.679","31.1","11.5","6.6",".",".",".",".","31.1","",".",".","",".","19.7","",".",".",".","."
"","Dept. Total","269","3.481","55.8","10.4","10.8","3.7","4.1","1.9","0.7","8.2","",".",".","",".","4.5","",".",".",".","."
