"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","200
001","46","",".",".",".",".",".",".",".",".",".","97.8","2.2",".",".",".",".","."
"","200
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Careers in Finance","Course Total","58","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"","205
001","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","205
002","51","",".",".",".",".",".",".",".",".",".","90.2","7.8",".",".",".","2.0","."
"Financial Modeling in Excel","Course Total","103","",".",".",".",".",".",".",".",".",".","95.1","3.9",".",".",".","1.0","."
"","300
001","68","2.890","19.1","14.7","27.9","13.2","20.6","2.9","1.5",".",".",".",".",".",".",".",".","."
"","300
002","189","3.152","29.1","20.1","22.2","7.9","20.1",".",".","0.5",".",".",".",".",".",".",".","."
"","300
003","123","2.911","17.9","21.1","26.0","14.6","12.2","6.5","1.6",".",".",".",".",".",".",".",".","."
"","300
004","127","2.858","21.3","19.7","15.7","16.5","17.3","8.7","0.8",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","507","2.984","23.1","19.5","22.3","12.4","17.6","4.1","0.8","0.2",".",".",".",".",".",".",".","."
"","305
001","37","3.216","24.3","27.0","24.3","16.2","8.1",".",".",".",".",".",".",".",".",".",".","."
"","305
002","57","3.439","36.8","29.8","21.1","8.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"","305
003","19","3.194","31.6","5.3","42.1",".","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"","305
004","54","3.185","29.6","25.9","16.7","18.5","5.6","1.9","1.9",".",".",".",".",".",".",".",".","."
"","305
005","59","3.297","33.9","25.4","22.0","10.2","5.1","3.4",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","226","3.284","31.9","25.2","22.6","11.9","6.2","1.3","0.4","0.4",".",".",".",".",".",".",".","."
"","320
001","41","3.415","36.6","31.7","19.5","7.3","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","320
002","57","3.386","26.3","36.8","29.8","5.3",".","1.8",".",".",".",".",".",".",".",".",".","."
"","320
003","52","3.442","38.5","34.6","11.5","11.5","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"","320
005","20","3.395","40.0","25.0","20.0",".","5.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","170","3.411","34.1","33.5","20.6","7.1","1.8","2.4",".","0.6",".",".",".",".",".",".",".","."
"","325
001","60","3.400","30.0","36.7","21.7","6.7","5.0",".",".",".",".",".",".",".",".",".",".","."
"","325
002","59","3.466","42.4","27.1","18.6","5.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"","325
003","44","3.307","29.5","36.4","13.6","15.9","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","325
004","46","3.370","34.8","26.1","26.1","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","209","3.392","34.4","31.6","20.1","7.7","5.7",".","0.5",".",".",".",".",".",".",".",".","."
"","330
001","55","3.345","32.7","27.3","25.5","5.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","330
002","60","3.300","26.7","28.3","30.0","8.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","330
003","59","3.212","25.4","22.0","28.8","16.9","6.8",".",".",".",".",".",".",".",".",".",".","."
"","330
004","56","3.205","33.9","14.3","17.9","26.8","7.1",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","230","3.265","29.6","23.0","25.7","14.3","7.4",".",".",".",".",".",".",".",".",".",".","."
"Fixed Income Securities","340
001","24","3.727","58.3","20.8","8.3","4.2",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"","365
001","21","3.275","23.8","38.1","23.8","4.8",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"","365
002","16","3.433","18.8","50.0","18.8","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","365
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","50","3.457","40.0","32.0","18.0","4.0",".",".","2.0","4.0",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
158","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","24","3.292","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","420
001","21","3.548","38.1","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","40","3.113","15.0","30.0","32.5","7.5","15.0",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 55 of 480",""
