"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Elementary Heat Transfer
364","001","","126","3.212","19.8","34.1","27.0","11.1","4.0","3.2",".",".",".",".",".",".","0.8",".",".","."
"Engr Measure & Instrumentation
368","001","","109","3.307","35.8","19.3","26.6","11.0","6.4",".","0.9",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory
370","001","","163","3.577","33.7","50.3","13.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mechatronics
376","001","","41","3.500","26.8","48.8","22.0","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement
415","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design
424","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Materials Selection
437","001","","22","3.386","31.8","22.7","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Design Problems-Elasticity
444","001","","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process
447","003","","9","3.444","44.4",".","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Redesign & Prototype Fab
449","001","","40","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl. Thermal/Struct FE Analys
460","001","","34","3.485","44.1","41.2","2.9","2.9","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"Thermal Systems Modeling
461","001","","28","3.518","35.7","42.9","14.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn-Measure&Control
466","001","","47","3.574","51.1","25.5","12.8","8.5","2.1",".",".",".",".",".",".",".",".",".",".","."
"476","001","","34","3.721","61.8","26.5","8.8",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"476","002","","25","3.560","60.0","16.0","12.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","Course Total","","59","3.653","61.0","22.0","10.2","3.4","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"489","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"489","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","110","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"489","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","12","3.984","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","114","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","120","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","22","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Biofluidics
505","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials
508","001","","16","3.531","50.0","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty
512","001","","11","3.273","36.4","18.2","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".","."
