"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","154","2.779","19.5","14.3","18.2","15.6","26.0","4.5","1.9",".",".",".",".",".",".",".",".","."
"","101
002","201","2.649","21.4","10.9","17.9","15.4","19.9","9.0","5.5",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","355","2.706","20.6","12.4","18.0","15.5","22.5","7.0","3.9",".",".",".",".",".",".",".",".","."
"","102
001","14","2.929","28.6","14.3","21.4","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"","102
002","10","3.050","30.0","20.0",".","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
003","15","2.967","33.3","20.0","6.7","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","102
004","13","2.962","30.8","15.4","15.4","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"","102
005","14","2.607","14.3","7.1","21.4","14.3","35.7","7.1",".",".",".",".",".",".",".",".",".","."
"","102
006","13","3.000","15.4","23.1","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".","."
"","102
007","14","2.964","28.6","28.6","7.1","7.1","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","102
008","11","3.318","54.5",".","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
009","14","3.143","21.4","28.6","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
010","12","2.458","16.7",".","16.7","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".","."
"","102
011","12","2.542",".","33.3","8.3","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"","102
013","16","3.375","43.8","25.0","12.5",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"","102
014","16","3.031","18.8","37.5","12.5","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","174","2.957","25.9","20.1","14.9","13.8","17.8","6.9","0.6",".",".",".",".",".",".",".",".","."
"General Botany","130
001","25","2.646","24.0","4.0","20.0","8.0","24.0","16.0",".",".",".",".",".",".",".","4.0",".","."
"Introductory Biology","151
001","272","3.148","29.4","15.1","33.5","6.3","12.1","2.9","0.4",".",".",".",".",".",".",".",".","0.4"
"","152
001","337","3.352","44.5","8.9","32.0","5.0","8.0","1.2","0.3",".",".",".",".",".",".",".",".","."
"","152
002","400","3.348","42.3","12.5","31.0","3.0","9.8","1.3",".",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","Course Total","737","3.350","43.3","10.9","31.5","3.9","9.0","1.2","0.1",".",".",".",".",".","0.1",".",".","."
"Communicating Evolutionary Bio","522
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
