"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"International Business","200
001","71","3.176","25.4","32.4","19.7","8.5","9.9","2.8","1.4",".","",".","",".",".","",".","","",".",".",".","."
"Intercultural Communctn in Bus","320
001","18","3.806","66.7","27.8","5.6",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Contemporary Topics","365
001","16","3.813","62.5","37.5",".",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Global Issues in Management","403
001","19","3.868","78.9","15.8","5.3",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Multinational Bus Finance","445
001","8","2.813","37.5",".","25.0","12.5","12.5",".","12.5",".","",".","",".",".","",".","","",".",".",".","."
"Study Abroad in Intl Bus","450
001","4","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Multinational Bus Finance","745
001","3","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","765
025","19","3.632","47.4","31.6","21.1",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","765
026","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Contemporary Topics","Course Total","33","3.596","45.5","30.3","18.2","6.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Business Management","766
050","29","3.983","96.6","3.4",".",".",".",".",".",".","",".","",".",".","",".","","",".",".",".","."
"235
INTL BUS","Dept. Total","201","3.507","52.7","24.9","11.9","4.5","4.0","1.0","1.0","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","29","3.188","20.7","34.5","27.6","6.9","6.9","3.4",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","35","3.471","48.6","25.7","14.3","5.7","2.9",".","2.9","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","60","3.664","63.3","25.0","3.3","3.3","3.3","1.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","124","3.497","49.2","27.4","12.1","4.8","4.0","1.6","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Special","","12","2.667","8.3","25.0","25.0","8.3","25.0",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","65","3.790","67.7","20.0","9.2","3.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","201","3.507","52.7","24.9","11.9","4.5","4.0","1.0","1.0","",".","",".",".","",".","",".","",".",".",".","."
