"L&S","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126
001","20","3.825","85.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","139","3.759","65.5","23.7","7.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202
001","72","3.542","50.0","33.3","9.7","2.8",".","1.4","2.8",".",".",".",".",".",".",".",".","."
"West Cult: Lit&The Arts II","204
001","119","3.661","61.3","20.2","12.6","0.8","0.8","1.7","0.8",".",".",".",".",".","1.7",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rome: Lust for Glory","350
002","17","3.059","41.2","29.4",".","5.9","11.8",".","11.8",".",".",".",".",".",".",".",".","."
"Migration & Migrant Experience","367
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magic Realism Postmodernity","369
001","23","3.705","82.6","4.3",".",".","4.3",".","4.3",".",".",".",".",".","4.3",".",".","."
"Interdis in Arts & Humanities","371
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies-Soc Sciences","372
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","400
001","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
ILS","Dept. Total","448","3.688","64.1","22.5","7.8","1.8","1.1","0.7","1.3",".",".",".",".",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.611","62.1","17.2","13.8","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"Sophomore","","200","3.736","64.0","24.5","8.0","1.5","0.5","0.5","0.5",".",".",".",".",".","0.5",".",".","."
"Junior","","136","3.606","61.0","24.3","6.6","1.5","2.2","1.5","2.2",".",".",".",".",".","0.7",".",".","."
"Senior","","82","3.729","69.5","17.1","7.3","2.4","1.2",".","1.2",".",".",".",".",".","1.2",".",".","."
"Undergraduates","","447","3.687","64.0","22.6","7.8","1.8","1.1","0.7","1.3",".",".",".",".",".","0.7",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","448","3.688","64.1","22.5","7.8","1.8","1.1","0.7","1.3",".",".",".",".",".","0.7",".",".","."
