"PhD Thesis-Accounting","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"","999
089","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
130","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","Dept. Total","2155","3.288","34.8","21.7","23.4","10.7","7.4","1.5","0.2","0.2","",".",".","",".","0.0","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","57","2.711","7.0","12.3","28.1","28.1","21.1","3.5",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","427","3.062","24.8","18.0","23.0","18.7","12.6","2.1","0.5",".","",".",".","",".",".","0.2",".",".","."
"Junior","","665","3.244","30.5","21.2","28.4","10.5","7.4","1.8","0.2",".","",".",".","",".",".",".",".",".","."
"Senior","","696","3.343","38.1","22.8","22.6","8.8","6.0","1.4","0.1",".","",".",".","",".",".","0.1",".",".","."
"Undergraduates","","1845","3.222","31.3","20.8","24.9","12.3","8.5","1.8","0.2",".","",".",".","",".",".","0.1",".",".","."
"Special","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","302","3.692","55.6","26.8","14.2","1.3","0.3",".",".","1.3","",".",".","",".","0.3",".",".",".","."
"","Dept. Total","2155","3.288","34.8","21.7","23.4","10.7","7.4","1.5","0.2","0.2","",".",".","",".","0.0","0.1",".",".","."
