"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","54","3.139","48.1","16.7","11.1",".","13.0","3.7","7.4",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","46","3.174","39.1",".","45.7",".","10.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"Architectural Making II","152","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Architectural Thinking","155","001","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","159","001","","30","3.317","30.0","26.7","26.7","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","159","002","","18","3.056","22.2","22.2","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","159","003","","24","3.604","45.8","29.2","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","","Course Total","","72","3.347","33.3","26.4","25.0","6.9","8.3",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","50","3.240","26.0","28.0","28.0","12.0","4.0",".","2.0",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","48","2.989","14.6","14.6","41.7","16.7","6.3","4.2",".","2.1",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","56","3.009","14.3","14.3","37.5","23.2","8.9",".",".","1.8",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","50","3.650","58.0","24.0","12.0","2.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engr Materials","325","001","","26","3.615","42.3","38.5","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","35","3.343","25.7","37.1","25.7","2.9","8.6",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","34","3.559","52.9","20.6","14.7","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","36","3.611","47.2","27.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","14","3.536","50.0","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Resources Systems Analys","416","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","26","3.442","26.9","46.2","15.4","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Env Engr Microbiology","425","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","428","002","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Slope Stab and Earth Ret","430","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Shallow & Deep Fndtn Syst","432","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Underground Openings","434","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","23","3.304","26.1","17.4","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","489","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","46","3.522","43.5","28.3","19.6","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Building and Mater","495","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","56","3.564","42.9","37.5","10.7","1.8","5.4",".",".",".",".",".",".",".",".",".","1.8","."
"Composite Materials","508","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
