"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","419","3.810","79.7","11.0","5.3","2.6","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","132","002","430","3.923","89.5","7.7","1.4","1.2",".","0.2",".",".",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","849","3.867","84.7","9.3","3.3","1.9","0.4","0.1","0.4",".",".",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutrition","311","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","101","3.089","28.7","8.9","37.6","8.9","11.9","4.0",".",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","109","3.477","31.2","43.1","18.3","6.4",".","0.9",".",".",".",".",".",".",".",".",".","."
"Intro Epidemiology","379","001","200","3.799","72.0","17.0","8.5","2.0",".",".",".",".",".",".",".",".","0.5",".",".","."
"","421","002","64","3.945","93.8","3.1","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","421","004","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","","Course Total","70","3.936","91.4","5.7","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in the Life Span","431","001","47","3.245","31.9","23.4","19.1","21.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","14","3.423","50.0","7.1","21.4",".","14.3",".",".",".",".",".",".",".",".",".","7.1","."
"Nutrition, Fitness and Health","525","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Nutr & Health Equity","540","002","25","3.640","40.0","48.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients","619","001","13","3.154","15.4","7.7","69.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Nutritnl Epidemiology","621","002","22","3.750","72.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition II","632","001","34","3.485","38.2","29.4","26.5","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"App Clinical Nutrition II","642","001","34","3.691","41.2","55.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Clin Nutrition Pediatrics","651","001","34","3.853","82.4","11.8","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutr Counseling & Educ","652","001","14","3.429","35.7","14.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition Research","653","001","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum II","671","001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutraceuticals for Hlth Prfsn","675","001","29","3.793","72.4","13.8","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 35 of 480"
