"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","086","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","32","",".",".",".",".",".",".",".","90.6",".",".",".","9.4",".",".",".","."
"Spec Work-Ag & Appl Economics
999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"108
A A E","Dept. Total","","499","3.547","48.7","22.4","11.0","5.2","2.6","1.4",".","7.0",".",".",".","0.6","0.8",".","0.2","."
