"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","209","3.200","27.3","19.6","27.8","12.4","9.1","0.5","0.5","0.5",".",".",".",".","2.4",".",".","."
"","240
002","138","3.475","42.8","21.7","26.8","5.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","240
003","139","3.216","37.4","15.8","20.1","10.1","14.4","2.2",".",".",".",".",".",".",".",".",".","."
"","240
004","141","3.197","31.9","22.0","13.5","13.5","15.6","0.7",".",".",".",".",".",".","2.8",".",".","."
"Data Science Modeling I","Course Total","627","3.264","34.0","19.8","22.6","10.5","10.5","0.8","0.2","0.2",".",".",".",".","1.4",".",".","."
"","301
001","124","2.835","25.8","8.9","19.4","12.9","27.4","4.0","1.6",".",".",".",".",".",".",".",".","."
"","301
002","124","2.903","28.2","12.1","15.3","15.3","23.4","4.0","1.6",".",".",".",".",".",".",".",".","."
"","301
003","129","2.814","20.2","12.4","22.5","15.5","24.0","3.1","2.3",".",".",".",".",".",".",".",".","."
"","301
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","381","2.848","24.7","11.3","19.2","14.4","24.7","3.7","2.1",".",".",".",".",".",".",".",".","."
"","303
001","36","3.764","69.4","13.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","77","3.796","77.9","13.0","3.9","1.3","1.3",".","1.3","1.3",".",".",".",".",".",".",".","."
"","303
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics I","Course Total","123","3.791","75.6","13.0","8.1","0.8","0.8",".","0.8","0.8",".",".",".",".",".",".",".","."
"","304
001","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","42","3.610","57.1","14.3","21.4",".","4.8",".",".","2.4",".",".",".",".",".",".",".","."
"","304
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics II","Course Total","62","3.615","58.1","14.5","21.0",".","4.8",".",".","1.6",".",".",".",".",".",".",".","."
"","305
001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
003","17","3.719","64.7","17.6","5.9",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","305
004","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics III","Course Total","37","3.750","67.6","16.2","10.8",".","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"","309
001","27","2.900","22.2",".","33.3","18.5","14.8","3.7",".",".",".",".",".",".","7.4",".",".","."
"","309
002","23","3.065","39.1","13.0","21.7","8.7","4.3","8.7","4.3",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","50","2.979","30.0","6.0","28.0","14.0","10.0","6.0","2.0",".",".",".",".",".","4.0",".",".","."
"Intro to Prob & Math Stat II","310
002","48","3.823","72.9","18.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","59","2.966","32.2","8.5","20.3","11.9","23.7",".","3.4",".",".",".",".",".",".",".",".","."
"","311
002","72","3.132","20.8","27.8","30.6","6.9","9.7","4.2",".",".",".",".",".",".",".",".",".","."
"","311
003","70","3.743","68.6","18.6","7.1","4.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","201","3.296","40.8","18.9","19.4","7.5","10.9","1.5","1.0",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","312
001","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","131","2.908","22.1","11.5","24.4","16.0","23.7","1.5","0.8",".",".",".",".",".",".",".",".","."
"","324
002","133","3.053","33.1","10.5","19.5","13.5","18.8","3.8",".",".",".",".",".",".","0.8",".",".","."
"","324
003","126","2.893","24.6","10.3","23.8","14.3","22.2","3.2","1.6",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","390","2.952","26.7","10.8","22.6","14.6","21.5","2.8","0.8",".",".",".",".",".","0.3",".",".","."
"Applied Regression Analysis","333
001","27","3.574","70.4","11.1","7.4",".","7.4",".","3.7",".",".",".",".",".",".",".",".","."
"","340
001","77","2.929","26.0","6.5","24.7","18.2","22.1","2.6",".",".",".",".",".",".",".",".",".","."
"","340
002","141","3.071","26.2","9.9","34.0","12.8","16.3","0.7",".",".",".",".",".",".",".",".",".","."
"","340
003","100","3.035","28.0","9.0","29.0","14.0","18.0","2.0",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 354 of 480",""
