"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Ensemble-Woodwind","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","267
020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
089","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
189","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
220","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
101","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
102","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
011","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","297
102","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","297
111","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
211","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","59","3.894","93.2","3.4",".",".","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"Principles of Music Education","300
001","","11","3.455","54.5","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Improvisation","332
066","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
116","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Wind Ensemble","40
001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","","47","3.979","97.9",".","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","","256","3.900","93.8","2.3","2.0","0.4",".",".","1.6",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 306 of 480",""
