"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","Course Total","","67","",".",".",".",".",".",".",".","85.1",".",".",".","13.4","1.5",".",".","."
"999","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","170","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","188","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","192","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","31","4.000","90.3",".",".",".",".",".",".",".",".",".",".",".","3.2",".","6.5","."
