"FINANCE, INVESTMENT & BANKI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Investmt Bankg & Capital Mrkts","","Course Total","","61","3.262","23.0","31.1","31.1","4.9","9.8",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445","001","","13","3.346","46.2","23.1","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Equity Mkts Research 1","535","001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","002","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Wealth Mgmt&Financial Planning","","Course Total","","28","3.714","57.1","32.1","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Business Valuation","635","001","","37","3.257","32.4","18.9","24.3","16.2","8.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","646","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","650","001","","21","3.425","19.0","42.9","33.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725","060","","54","3.648","57.4","37.0","1.9",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Analysis Fixed Inc Securities","740","001","","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Entrepreneurial Finance","757","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","","15","3.500","6.7","86.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","158","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Derivative Securities","830","060","","43","3.512","39.5","34.9","16.3","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Securty Analys & Invstmt Mgt 2","836","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971","003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","990","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
