"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","32","2.578","15.6","6.3","15.6","28.1","21.9","12.5",".",".",".",".",".",".",".",".",".","."
"","100
002","33","3.167","24.2","30.3","15.2","15.2","15.2",".",".",".",".",".",".",".",".",".",".","."
"","100
003","30","3.167","33.3","13.3","16.7","26.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
004","35","3.214","40.0","11.4","14.3","25.7","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"","100
005","33","3.091","24.2","15.2","27.3","21.2","12.1",".",".",".",".",".",".",".",".",".",".","."
"","100
006","33","2.939","15.2","21.2","21.2","21.2","21.2",".",".",".",".",".",".",".",".",".",".","."
"","100
007","29","3.172","24.1","17.2","27.6","31.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","37","3.014","24.3","13.5","27.0","21.6","10.8",".","2.7",".",".",".",".",".",".",".",".","."
"","100
009","32","2.969","18.8","15.6","28.1","15.6","21.9",".",".",".",".",".",".",".",".",".",".","."
"","100
011","35","3.086","28.6","17.1","17.1","22.9","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"","100
012","30","2.983","23.3","13.3","16.7","23.3","20.0",".",".",".",".",".",".",".","3.3",".",".","."
"","100
013","33","2.848","21.2","6.1","27.3","24.2","18.2",".","3.0",".",".",".",".",".",".",".",".","."
"","100
014","32","3.125","21.9","25.0","21.9","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
015","31","3.000","25.8","12.9","19.4","25.8","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","455","3.025","24.4","15.6","21.1","22.9","13.8","1.5","0.4",".",".",".",".",".","0.2",".",".","."
"","211
001","32","2.984","21.9","9.4","40.6","12.5","12.5",".","3.1",".",".",".",".",".",".",".",".","."
"","211
002","32","3.109","31.3","15.6","34.4",".","9.4","9.4",".",".",".",".",".",".",".",".",".","."
"","211
003","31","3.129","29.0","6.5","45.2","6.5","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"","211
004","32","3.016","34.4","3.1","21.9","12.5","21.9","3.1",".",".",".",".",".",".","3.1",".",".","."
"","211
005","35","3.471","48.6","8.6","34.3","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","211
006","30","3.133","30.0","13.3","33.3","6.7","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"","211
007","21","2.667","9.5",".","47.6","19.0","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","211
008","34","3.000","23.5","11.8","38.2","5.9","14.7","5.9",".",".",".",".",".",".",".",".",".","."
"","211
009","34","3.015","26.5","8.8","32.4","11.8","17.6","2.9",".",".",".",".",".",".",".",".",".","."
"","211
010","28","3.071","21.4","10.7","50.0","3.6","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","211
011","26","3.135","26.9","7.7","42.3","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"","211
100","15","2.633","6.7","20.0","20.0","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","350","3.062","27.4","9.4","36.9","9.1","12.6","4.0","0.3",".",".",".",".",".","0.3",".",".","."
"","300
001","118","3.292","28.8","31.4","21.2","10.2","6.8","1.7",".",".",".",".",".",".",".",".",".","."
"","300
002","37","3.554","37.8","40.5","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","38","3.263","23.7","21.1","42.1","10.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","300
004","37","3.257","24.3","40.5","16.2","10.8","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","230","3.324","28.7","32.6","23.0","9.6","4.3","1.7",".",".",".",".",".",".",".",".",".","."
"","301
001","6","3.000","16.7","33.3","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","301
002","30","3.283","36.7","6.7","43.3","3.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"","301
003","38","3.316","39.5","10.5","39.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","301
004","33","3.227","36.4","21.2","15.2","6.1","21.2",".",".",".",".",".",".",".",".",".",".","."
"","301
005","34","3.368","41.2","20.6","23.5","5.9","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"","301
006","18","3.139","22.2","16.7","44.4","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","301
007","36","3.403","33.3","25.0","33.3","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","301
008","37","3.338","32.4","37.8","8.1","13.5","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","232","3.302","34.9","20.7","28.0","6.9","7.3","2.2",".",".",".",".",".",".",".",".",".","."
"","302
001","17","3.235","17.6","35.3","35.3",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 52 of 480"
