"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","292","3.390","43.2","21.9","16.8","9.6","6.8","1.7",".",".",".",".",".",".",".",".",".","."
"","102
001","43","3.209","23.3","20.9","39.5","11.6","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","102
002","38","3.118","23.7","13.2","42.1","10.5","7.9","2.6",".",".",".",".",".",".",".",".",".","."
"","102
003","42","3.024","16.7","19.0","42.9","9.5","7.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"","102
004","42","3.143","21.4","19.0","47.6","4.8","2.4","2.4","2.4",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","165","3.124","21.2","18.2","43.0","9.1","4.8","2.4","1.2",".",".",".",".",".",".",".",".","."
"Microbiomes First-Year Sem","150
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","163","2.957","14.1","17.2","28.8","29.4","8.6","1.8",".",".",".",".",".",".",".",".",".","."
"","304
001","34","3.309","26.5","23.5","38.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","304
002","31","3.065","12.9","29.0","29.0","16.1","12.9",".",".",".",".",".",".",".",".",".",".","."
"","304
003","29","3.103","24.1","3.4","48.3","17.2","6.9",".",".",".",".",".",".",".",".",".",".","."
"","304
004","34","3.265","35.3","17.6","26.5","5.9","14.7",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","128","3.191","25.0","18.8","35.2","11.7","9.4",".",".",".",".",".",".",".",".",".",".","."
"","305
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","27","3.278","29.6","25.9","25.9","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro Disease Biology","345
001","236","3.878","86.9","5.1","2.5","3.0","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"Gen Bioinformatics - Microbio","357
001","19","3.605","68.4","15.8","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","42","3.607","57.1","23.8","7.1","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","40","3.436","40.0","12.5","40.0","2.5","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Microbial Astrobiology","520
001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Soil Microbiology & Biochem","523
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","48","3.333","31.3","29.2","25.0","8.3","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","78","3.938","84.6","6.4","2.6",".",".",".",".","1.3",".",".",".",".",".",".","5.1","."
"","551
001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","12","3.542","50.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
004","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Rsch Proj Microbio","Course Total","55","3.764","67.3","18.2","14.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbial Bioinformatics","657
001","50","3.920","92.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
