"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","155","3.200","29.7","23.2","19.4","18.1","7.7","1.3","0.6",".",".",".",".",".",".",".",".","."
"Intro to Comparative Politics","120","001","96","3.575","52.1","28.1","6.3","4.2","4.2","2.1",".","1.0",".",".",".",".",".",".","2.1","."
"Intro-Internatl Relations","140","001","147","3.490","49.7","21.1","15.0","9.5","2.0","1.4","0.7","0.7",".",".",".",".",".",".",".","."
"Intro to Political Theory","160","001","143","3.415","30.8","39.2","20.3","5.6","1.4","1.4","0.7","0.7",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","170","001","47","3.117","19.1","44.7","10.6","8.5","10.6","4.3","2.1",".",".",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","29","3.793","82.8","3.4","6.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","13","3.423","61.5","7.7","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"","272","001","36","3.757","50.0","47.2",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"","272","002","38","3.694","42.1","47.4","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Intro to Public Policy","","Course Total","74","3.725","45.9","47.3","2.7",".",".",".",".",".",".",".",".",".","4.1",".",".","."
"Africa: Introductory Survey","277","001","21","3.595","57.1","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","302","001","9","3.111","66.7",".",".",".","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"Criminal Law and Justice","314","001","141","3.585","56.7","24.8","7.1","5.7","4.3","0.7","0.7",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in Political Science","316","001","32","3.953","93.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Middle East Politics","320","001","49","3.617","71.4","6.1","6.1","6.1","2.0","2.0","2.0",".",".",".",".",".","4.1",".",".","."
"Non-Democracies","339","001","25","3.333","24.0","40.0","16.0","8.0","8.0",".",".",".",".",".",".",".","4.0",".",".","."
"Eur Union:Politics&Pol Econ","340","001","68","3.235","17.6","30.9","33.8","11.8","1.5","1.5",".",".",".",".",".",".",".",".","2.9","."
"Theories-Internationl Security","343","001","53","3.686","66.0","17.0","3.8","5.7","1.9","1.9",".","3.8",".",".",".",".",".",".",".","."
"The Russian War on Ukraine","344","001","95","3.184","26.3","21.1","17.9","7.4","5.3","3.2","2.1","16.8",".",".",".",".",".",".",".","."
"Analysis of Intl Relations","348","001","93","3.500","57.0","23.7","8.6","1.1","4.3","2.2","3.2",".",".",".",".",".",".",".",".","."
"Internat'l Political Economy","350","001","78","3.224","24.4","32.1","25.6","10.3","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"Intl Institutns&World Order","354","001","48","3.660","62.5","18.8","8.3","6.3",".","2.1",".",".",".",".",".",".",".",".","2.1","."
"Prin-International Law","356","001","36","3.657","52.8","33.3","8.3",".",".","2.8",".","2.8",".",".",".",".",".",".",".","."
"Athenian Democracy","362","001","9","3.167","33.3","22.2","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Literature and Politics","363","001","33","3.667","78.8","6.1","9.1",".",".","3.0","3.0",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","103","3.495","56.3","16.5","5.8","8.7","5.8","1.9","1.0",".",".",".",".",".","3.9",".",".","."
"Nuclear Weapons&World Poltc","377","001","45","3.500","42.2","35.6","11.1","6.7","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","400","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","001","28","3.741","64.3","14.3","17.9",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","401","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","46","3.844","78.3","8.7","10.9",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"State Gov & Public Policy","405","001","26","3.788","57.7","42.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","83","3.558","32.5","47.0","13.3",".",".",".","1.2","6.0",".",".",".",".",".",".",".","."
"","435","001","32","3.344","31.3","34.4","18.8","9.4","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"","435","002","13","3.625","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Politics Gender Rights MidEast","","Course Total","45","3.420","33.3","35.6","17.8","6.7","2.2","2.2",".",".",".",".",".",".","2.2",".",".","."
