"ENVIR ST - GAYLORD NELSON I Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","53","",".",".",".",".",".",".",".","75.5","1.9",".",".","22.6",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
