"DANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"Dancing Gender","168
001","","97","3.742","79.4","7.2","5.2","3.1","4.1",".","1.0",".",".",".",".",".",".",".",".","."
"","212
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","","18","3.808","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","","28","3.963","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Mat II","235
001","","25","3.875","84.0","4.0","4.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Pilates Equipment II","236
001","","10","3.350","50.0",".","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","240
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","255
001","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255
002","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","","40","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pol&Cult Perspectives in Dance","268
001","","87","3.639","60.9","14.9","12.6","1.1","4.6","1.1",".","4.6",".",".",".",".",".",".",".","."
"","312
001","","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","312
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Dance Tech & Th VI","Course Total","","16","3.750","62.5","18.8","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Afro Asian Improv","319
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique III-B","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","Course Total","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dance Composition II","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Dance History II: Contemporary","365
001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Teaching Dance","374
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pilates Teaching Methods","375
001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Dance Therapy Practicum","431
001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition III","455
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Project","463
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
