"","990
018","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
023","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
039","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Dissertator Research","Course Total","8","",".",".",".",".","",".","",".","",".","",".","",".","87.5","",".","",".",".",".","12.5","."
"210
B M I","Dept. Total","171","3.951","85.4","5.3","1.8",".","",".","",".","",".","",".","",".","4.1","",".","",".","1.2",".","2.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","","4","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","","6","3.885","66.7","16.7",".",".","",".","",".","",".","",".","",".",".","",".","",".","16.7",".",".","."
"Graduate","","149","3.957","86.6","3.4","2.0",".","",".","",".","",".","",".","",".","4.7","",".","",".","0.7",".","2.7","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","12","3.965","91.7","8.3",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","171","3.951","85.4","5.3","1.8",".","",".","",".","",".","",".","",".","4.1","",".","",".","1.2",".","2.3","."
