"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","139
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
002","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Belong, Explore, Become","Course Total","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","145
001","368","3.944","95.1","2.4","1.4",".","0.5","0.3","0.3",".",".",".",".",".",".",".",".","."
"","145
002","230","3.891","92.6","5.2",".",".",".","0.4","1.7",".",".",".",".",".",".",".",".","."
"","145
003","167","3.798","86.2","6.6","1.8","1.2","0.6",".","3.0",".",".",".",".",".","0.6",".",".","."
"How to Succeed in College","Course Total","765","3.897","92.4","4.2","1.0","0.3","0.4","0.3","1.3",".",".",".",".",".","0.1",".",".","."
"","210
001","19","3.842","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","18","3.778","83.3",".","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","210
003","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","19","3.789","84.2","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","210
006","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","21","3.786","76.2","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","210
009","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
010","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
011","18","3.694","88.9",".",".","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","210
012","20","3.895","80.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"L&S Career Development","Course Total","234","3.839","83.3","7.3","5.6","1.7","1.3",".","0.4",".",".",".",".",".",".","0.4",".","."
"Communicating About Careers","215
001","158","3.829","86.7","5.1","3.2","2.5","0.6","1.3","0.6",".",".",".",".",".",".",".",".","."
"","250
001","17","3.934","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","15","3.971","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","17","3.758","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","14","3.845","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","250
006","15","3.984","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","16","3.914","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","16","3.828","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","16","3.742","75.0","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","250
010","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","145","3.887","80.7","15.2","2.8",".",".","0.7",".",".",".",".",".",".","0.7",".",".","."
"Bradley Peer Mentor Course","257
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","47","3.755","80.9","6.4","4.3","4.3","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Problems in Appl Social Sci","302
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
