"KINESIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","163","3.558","66.3","13.5","7.4","3.7","5.5","1.2","2.5",".",".",".",".",".",".",".",".","."
"","116
001","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","22","3.545","40.9","31.8","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","Course Total","42","3.619","45.2","35.7","16.7","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119
001","101","3.866","90.1","5.0","2.0",".","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"Living well: Lifestyle balance","123
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
003","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
004","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
005","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"","125
006","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","66","4.000","4.5",".",".",".",".",".",".","95.5",".",".",".",".",".",".",".","."
"Intro to Athletic Healthcare","127
001","101","3.644","63.4","13.9","14.9","5.9","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140
001","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndations:Hlth Behavior Equity","150
001","129","3.779","67.4","24.8","4.7","2.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"","225
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
005","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","225
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Promoting Activity","Course Total","56","4.000","98.2",".",".",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"","227
001","51","3.667","56.9","27.5","7.8","7.8",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","50","3.470","50.0","18.0","18.0","4.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Anat Hum Mov","Course Total","101","3.569","53.5","22.8","12.9","5.9","5.0",".",".",".",".",".",".",".",".",".",".","."
"Health Coaching Prins & Mthods","280
001","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","75","3.960","98.7",".",".",".",".","1.3",".",".",".",".",".",".",".",".",".","."
"","300
003","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","81","3.961","97.5",".",".",".",".","1.2",".","1.2",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","82","3.451","40.2","25.6","25.6","6.1","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315
001","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Adapted Physical Activity","316
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318
001","62","3.290","35.5","16.1","32.3","9.7","4.8",".","1.6",".",".",".",".",".",".",".",".","."
"","325
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","Course Total","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curr Topic-Outdoor Pursuits","327
001","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
002","37","3.959","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","Course Total","77","3.981","96.1","3.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
