"EDU","","","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
305
ELPA","514","3.892","73.7","4.7","1.6","0.6","",".","",".","1.0","12.5","",".",".","",".","3.5","1.8","0.8",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","",""
"Senior","10","3.850","90.0",".",".","10.0","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","10","3.850","90.0",".",".","10.0","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Special","18","3.969","83.3","5.6",".",".","",".","",".",".",".","",".",".","",".",".",".","11.1",".","."
"Graduate","474","3.886","72.2","4.9","1.7","0.4","",".","",".","1.1","13.5","",".",".","",".","3.8","1.9","0.4","0.2","."
"Prof Yr 2","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","10","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","13","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Dept. Total","515","3.892","73.6","4.7","1.6","0.6","",".","",".","1.0","12.4","",".",".","",".","3.5","1.7","0.8","0.2","."
