"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Special","8","4.000","50.0",".",".",".",".","",".","",".","50.0",".",".","",".","",".","",".",".",".","."
"Graduate","18","3.900","33.3","5.6",".",".",".","",".","",".","61.1",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","11","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","16","3.958","68.8","6.3",".",".",".","",".","",".","12.5","12.5",".","",".","",".","",".",".",".","."
"Prof Yr 3","27","4.000","33.3",".",".",".",".","",".","",".","66.7",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","249","3.879","73.1","12.4","0.4","0.8","0.8","",".","",".","12.4",".",".","",".","",".","",".",".",".","."
"Professionals","303","3.890","70.3","10.6","0.3","0.7","0.7","",".","",".","16.8","0.7",".","",".","",".","",".",".",".","."
