"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Education for Sustainable Cmty","405
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prep to Teach Abroad Capstone","419
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","432
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","432
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design II","Course Total","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","463
001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
002","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
004","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463
005","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar - Elementary Education","Course Total","114","3.966","95.6","2.6","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
003","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
004","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464
005","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","Course Total","87","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"EC/ESL Student Teaching","468
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","8","",".",".",".",".",".",".",".",".",".","87.5",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","497
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","Course Total","5","***","","","","","","","","","","","","","","","",""
"CS Education","502
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","39","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","534
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","534
002","21","3.619","90.5",".",".",".",".",".","9.5",".",".",".",".",".",".",".",".","."
"Tools for Game Design","Course Total","37","3.770","91.9","2.7",".",".",".",".","5.4",".",".",".",".",".",".",".",".","."
